Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1934,,,,,,,,,,,
1935,,,,,,,,,,,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,294,,703,,,,,,,
1961,123,293,170,1023,,,,,,,
1962,129,272,143,1121,30.6,19.2,23.4,16.7,26.8,18.1,
1963,128,259,131,702,33.4,18.6,23.7,13.6,28.5,16.7,
1964,145,265,120,799,30.4,20,21.2,15,27.5,17.4,
1965,138,276,138,963,33.8,18.9,21.9,15.5,30,17.5,
1966,140,292,152,890,35,18.9,24.4,15,29.6,17.6,
1967,152,279,127,744,33.3,20.1,21.7,13.8,28.1,17.5,
1968,141,290,149,1306,31.1,19.4,22.8,16.1,27.7,18,
1969,122,252,130,868,30.4,19.2,22.1,16.7,26.3,18.2,
1970,133,270,137,978,,,,,,,
1971,140,231,91,682,33.4,19.4,23.3,13.8,29,16.2,
1972,164,230,66,420,35.9,18.1,27.2,14.1,31.3,16.7,
1973,150,285,135,1249,32.5,19.2,22.2,15.9,27.8,17.7,
1974,131,282,151,986,31.6,18.9,20,16.6,26.9,17.7,
1975,157,302,145,910,31.8,19.7,24,10,28.5,14.4,
1976,133,291,158,939,32.8,19.4,21.8,15.5,28.6,17.7,
1977,151,309,158,1155,30.7,19.7,24,16.8,27.7,18.2,
1978,108,256,148,932,32.2,19.8,23.3,14.5,28.1,17.6,
1979,125,307,182,1037,31,19.9,21.8,14,27.7,17.7,
1980,115,288,173,1122,31.8,19.4,22.4,16.2,28.8,18,
1981,133,259,126,768,34.5,19.9,25.5,13.4,30.6,17.5,
1982,110,241,131,627,33.3,19.7,25.6,16.4,30.5,18,
1983,114,258,144,938,31.9,19.4,23.6,15.8,28.1,18.1,
1984,130,256,126,817,31.2,19.1,21.1,15.9,27.5,18,
1985,155,278,123,852,32.4,19.8,24.8,15,29.3,18.3,
1986,109,259,150,702,34.7,19.9,22.7,14.1,30.2,17,
1987,153,287,134,848,32.6,20.4,24.9,17.5,29.2,19.2,
1988,112,286,174,1032,33.2,19.7,25.2,16.7,29.8,17.9,
1989,159,259,100,786,35,20.1,21.6,16.1,30.5,18.3,
1990,156,252,96,692,33.8,20,22.5,17,29.2,18.4,
1991,128,230,102,633,32.3,19.7,24.6,15.6,28.8,18.2,
1992,136,293,157,1058,35.7,19.4,25,12.6,30.1,17.8,
1993,157,255,98,747,32.6,19.8,25.6,16.5,30.1,18.2,
1994,,261,,589,36,20.1,24.3,16.3,31.1,18.4,
1995,144,266,122,664,33.6,19.6,25.2,17.3,30.1,18.4,
1996,139,270,131,991,33,20.1,22.1,17.1,29.3,18.5,
1997,136,230,94,524,33.6,20.1,26,15.9,30.3,18.6,
1998,134,251,117,1002,31.5,20,23.2,16.8,28.4,18.5,
1999,133,282,149,856,34.4,19.9,23.5,16.3,30.1,18.1,
2000,149,294,145,1044,31.4,20,21.5,17.6,28.2,18.8,
2001,120,247,127,778,33.2,20.1,26,17.2,30.5,18.8,
2002,147,295,148,784,36,20.7,24.9,16,29.9,18.8,
2003,143,291,148,1039,32.5,20.6,23.9,17.3,29.8,18.9,
2004,139,294,155,840,39,20.2,23.4,17.2,31.1,18.6,
2005,154,,,,,,,,,,
2006,130,289,159,1336,,,,,,,
2007,130,252,122,903,33.1,20.8,24.9,15.4,28,18.8,
2008,126,285,159,1129,,,,,,,
2009,130,,,,32.5,21,26.5,11.9,30.1,18.8,
2010,118,242,124,1064,32,19.9,20.8,17,28,18.5,
2011,136,275,139,820,32.5,20.6,22.6,17.5,28.6,19.1,
2012,153,269,116,901,,,,,,,
2013,145,289,144,839,,,,,,,
2014,168,254,86,981,,,,,,,
2015,139,284,145,947,,,,,,,
2016,135,306,171,1220,,20.2,,16.2,,18.9,
2017,146,285,139,842,33.9,20.8,23.2,17.1,29.6,18.9,
2018,149,243,94,807,,,,,,,
2019,,288,,806,,,,,,,
2020,136,277,141,1143,33.8,21.2,25.7,17.3,29.5,19.2,
2021,116,250,134,889,36,20.7,25.2,15.5,32.4,18.6,
2022,134,261,127,1100,,,,,,,
2023,161,230,69,568,,22.3,,18.3,,19.6,
2024,,270,,857,37.6,21.7,26.5,13.8,32.7,18.9,
2025,,,,,,,,,,,
