Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1931,,,,,,,,,,,
1932,,,,,,,,,,,
1933,155,305,150,,,,,,,,
1934,136,306,170,,34.5,18.4,19.3,6.8,26.6,14.7,
1935,137,307,170,,35.7,19.4,17.2,5.5,26.8,14.6,
1936,141,309,168,,33.5,18.9,19,5.6,26.8,14.4,
1937,151,312,161,,33.3,18.9,18.9,5.6,26.8,14.4,
1938,151,300,149,,34.4,19.4,18.9,7.8,26.6,14.7,
1939,,,,,32.5,18.8,17.8,5.6,26.7,14.9,
1940,138,309,171,,32.1,19.7,18.2,6.1,26.8,15,
1941,,,,,33.8,20.9,20.6,7.5,26.5,14.7,
1942,,,,,33.7,19.2,19.4,6.5,26.4,14.4,
1943,,,,,33.5,18.2,17.6,6.7,26.6,14.3,
1944,,,,,33,19.1,19.5,5.7,26.6,14.5,
1945,,,,,33.4,18.9,18.3,5,27,14.3,
1946,133,303,170,,35.3,20.2,18.9,5.3,26.6,14.4,
1947,136,306,170,,32.6,18.9,18.8,4.1,26.8,14.2,
1948,137,313,176,,32.7,20.8,16.8,5.5,27,14.2,
1949,153,299,146,,33.8,18.9,18.1,6.8,26.9,14.3,
1950,156,308,152,,32.6,20.9,17.3,7.2,26.3,13.8,
1951,133,319,186,,32.9,18.8,20.5,6.4,26.6,14.4,
1952,134,298,164,,33.6,20.3,19.3,6.8,27,14,
1953,145,286,141,,35.6,19.1,18.4,5.6,27,14.1,
1954,135,297,162,,34.9,19.7,20,6.8,27.1,13.9,
1955,138,307,169,,34.1,18.3,20,2.6,27,13.9,
1956,139,320,181,,34.7,17.9,16.1,4.9,26.8,13.8,
1957,157,291,134,,35,19.5,19.8,5.9,27.9,14.6,
1958,140,300,160,,35.2,19.6,18.6,5.2,27.6,14.4,
1959,144,309,165,,34.4,18.4,20.1,6.9,26.9,14.2,
1960,134,308,174,,33.1,20.6,19.9,5,27,14.2,
1961,133,301,168,,33.4,18.6,19.3,5.6,26.2,14.2,
1962,133,292,159,,32.7,18.3,18.8,4.9,26.2,14,
1963,135,291,156,,33.3,20.9,20.9,4.8,26.7,14.2,
1964,133,299,166,,32.6,18.9,17.5,4.4,26.2,13.4,
1965,154,294,140,,32.2,20.8,20,5,26.8,14.1,
1966,135,324,189,,35,21.1,20.4,5.7,27.1,14.2,
1967,143,314,171,,33.4,18.6,18.7,3.9,26.3,13.7,
1968,135,296,161,,33.9,18.4,21.1,4.9,27.1,14,
1969,135,295,160,,33.3,19.4,20.6,6.9,27.3,14.4,
1970,145,303,158,,33.3,18.5,20.6,6.1,26.9,13.8,
1971,133,307,174,,33.3,19.5,18.3,6.4,27,13.8,
1972,153,307,154,,35.6,18.5,21,1,27.4,14.1,
1973,134,305,171,,33.6,18.2,20.2,5.2,26.7,13.5,
1974,144,322,178,,33.1,18,18.4,3.6,26.9,13.3,
1975,135,312,177,,33.3,18.7,17.8,2.4,26.7,13.4,
1976,172,304,132,,33.8,19,20.6,5.7,27.3,13.8,
1977,140,312,172,,34,18.8,20,2.6,27.4,14.2,
1978,134,316,182,,33.9,19.9,20,3.2,27.2,14.1,
1979,140,313,173,,33.6,18.6,21.1,4.7,27.4,13.9,
1980,140,293,153,,32.5,18.2,18.2,3.1,27.3,13.8,
1981,145,318,173,,33.7,20,21,3.7,27.5,14.2,
1982,135,304,169,,33.2,18.8,18.9,4.7,27.6,14.5,
1983,142,295,153,,34.2,19.2,19.8,6.8,27.7,14.1,
1984,134,303,139,,34.6,18.5,21.2,6.7,27.3,13.8,
1985,134,301,167,,33.5,18.3,19.4,5.5,27.2,14.1,
1986,149,306,157,,34.6,18.6,18.9,5.7,27.6,14.1,
1987,150,295,145,,34,19.9,20.9,6,28.1,14.6,
1988,133,311,178,,34.2,20,21,5.5,27.1,14.3,
1989,135,315,180,,36.5,19,20,6.3,27.6,14.3,
1990,146,308,162,,35,19.2,19.7,6.3,27.6,14.4,
1991,133,311,178,,32.3,18.1,19.4,4.6,27.5,14.2,
1992,140,303,133,,34.7,19.2,20.9,3.6,27.6,13.7,
1993,152,301,149,,33.5,18.9,21.6,6.2,27.9,14.2,
1994,155,286,131,,34.1,19.5,20.5,5.1,28,14.1,
1995,143,299,156,,34.6,21,20.7,6,27.9,14.5,
1996,165,305,140,,34.5,20.2,19.5,5.2,28,14,
1997,143,300,157,,34.5,19.5,18,5.2,27.9,14.6,
1998,146,305,159,,34.5,19.2,20.7,6.4,27.9,14.2,
1999,134,296,162,,34.6,19.1,20.9,7.2,27.7,14.2,
2000,133,301,168,,34,19.5,19,5.4,27.1,14.3,
2001,141,293,136,,34.2,19.1,19.6,3.2,27.8,14.1,
2002,148,308,160,,34.8,20,20.3,7.5,28,14.4,
2003,158,307,149,,35.2,,19.4,,27.8,,
2004,133,297,164,,,,,,,,
2005,156,301,145,,,,,,,,
2006,,305,,,32.8,18.9,21.4,0,27.2,14.2,
2007,,,,,,,,,,,
2008,133,298,165,,34.7,19.8,20,7,28.1,14.1,
2009,135,299,164,,33.9,19.4,20.2,6.8,28,15.2,
2010,142,298,156,,35.2,21.5,21.7,7,28.3,14.4,
2011,161,296,135,,35.1,20,20,3.5,27.7,14.1,
2012,162,293,131,,34.7,19.2,21.2,7.5,28.4,14.4,
2013,146,301,155,,34.8,19.9,19.1,6,28.1,14.6,
2014,143,312,169,,35.5,19,17.4,6.9,28.1,14.2,
2015,145,309,164,,34.8,19.7,21.3,6.6,28.4,14.7,
