Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1937,,288,,700,,,,,,,
1938,116,278,162,1050,,,,,,,
1939,122,296,174,1184,,,,,,,
1940,131,279,148,1133,,,,,,,
1941,151,274,123,1180,,,,,,,
1942,156,296,140,1156,,,,,,,
1943,,,,,,,,,,,
1944,,282,,,,,,,,,
1945,135,288,153,1502,,,,,,,
1946,,296,,,,,,,,,
1947,,,,,,,,,,,
1948,108,,,,,,,,,,
1949,,267,,1281,,,,,,,
1950,137,259,122,917,,,,,,,
1951,121,274,153,1496,,,,,,,
1952,,297,,1346,30.6,18.8,25.1,14.8,27.8,16.6,
1953,131,285,154,929,30,18.7,23.7,13.9,27,17.2,
1954,132,287,155,1133,28.8,18.9,22.9,16.1,26.5,17.6,
1955,106,312,206,1393,29.7,18.7,23.6,14.4,26.4,16.8,
1956,127,281,154,1178,29.6,18.6,22.7,14.3,26.8,16.3,
1957,120,276,156,938,31.3,18.9,22.4,14.8,27.1,17.2,
1958,105,276,171,1037,29.9,18.9,16.1,15.7,26.8,17.5,
1959,138,288,150,979,33.2,18.8,17.2,15.2,26.9,17.1,
1960,135,303,168,1296,32.3,20.1,21.9,14.4,28.4,17.1,
1961,130,307,177,1321,29.3,18.3,22.3,13.8,25.9,16.4,
1962,141,281,140,1332,29.2,18.5,24.4,16.1,26.6,17.1,
1963,119,268,149,1041,30.3,17.9,22.4,12.5,26.9,16.1,
1964,127,272,145,961,29.6,17.7,21.1,13.3,26.8,16.2,
1965,135,276,141,1110,31,17.8,20.4,14,27.8,16.2,
1966,143,296,153,1132,32.3,18.8,24.8,13.8,28.5,16.6,
1967,119,278,159,840,31.2,19.9,22.6,13.8,27.2,16.5,
1968,127,300,173,1556,29.3,18.6,21.4,16.4,26.7,17.5,
1969,122,272,150,1102,29.9,18.9,24.1,15.8,26.9,17.5,
1970,114,273,159,1242,29.2,18.3,22.2,14.6,27.2,16.8,
1971,111,290,179,1196,30,18.1,23.9,13.9,27.4,16.1,
1972,148,245,97,641,31.7,18.6,24.1,15.8,28.8,17.3,
1973,146,293,147,950,29.2,18,24,14.6,26.5,17,
1974,151,300,149,1237,29.5,18.1,22.6,15.2,26.7,16.9,
1975,119,322,203,1336,30.5,18.4,23.2,15,27.1,16.7,
1976,108,298,190,1367,31.1,18.5,23.5,15.2,27.5,16.9,
1977,145,318,173,1463,30.4,19,20.6,16,27,17.6,
1978,126,293,167,1325,29.9,18.5,22.8,15.5,27.6,17.4,
1979,134,302,168,1221,29.5,19,20.5,13.5,27.1,17.1,
1980,113,291,178,1140,30.5,18.5,24.2,15.4,28.1,16.9,
1981,138,266,128,707,33.5,18.8,22,12,29.8,16.7,
1982,131,248,117,886,31.5,18.5,23.5,15,28.9,16.9,
1983,109,290,181,890,30.1,18.2,24,15,27.6,17.2,
1984,133,303,170,1145,31.5,18.7,24.3,15.4,27.1,17.3,
1985,122,288,166,1201,30.5,18.5,24.4,16,28.1,17.1,
1986,102,287,185,990,33,19,25.5,13.3,29.1,16.5,
1987,148,287,139,1292,31.5,19.5,21.5,16.5,28.9,18.1,
1988,112,296,184,1153,31.9,19,25,15.7,28.8,17.2,
1989,128,261,133,1119,33.3,19,23.5,14.9,29.5,17.5,
1990,93,279,186,1128,32,18.9,23,15.1,28.7,17.3,
1991,108,292,184,1037,30.6,18.5,25,13.5,28.1,17.1,
1992,119,302,183,1502,33.5,18.3,24,9,28.9,16.4,
1993,,267,,,,,,,,,
1994,154,279,125,632,,,,,,,
1995,113,279,166,1263,,,,,,,
1996,141,300,159,1003,,,,,,,
1997,139,288,149,1306,,,,,,,
1998,131,292,161,1158,,18.7,,16,,17.5,
1999,148,289,141,896,32.5,19,23,14.6,28.6,17.1,
2000,156,,,,,,,,,,
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,,,,,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,,,,,,,,,,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,,,,,,,,,,,
2015,,,,,,,,,,,
2016,,,,,,,,,,,
2017,,,,,30.4,18.8,22,15,28,17.4,
2018,,,,,33.6,18,25.6,15.2,29.6,16.9,
2019,,,,,32,17,27,14,29.7,15.5,
2020,,,,,,,,,,,
2021,,,,,34.9,16.6,26,13,30.9,15.5,
2022,,256,,1677,,15.8,,12.2,,14.6,
2023,147,246,99,1168,,16.7,,14.3,,15.5,
2024,106,282,176,1906,,16.8,,9,,14.4,
2025,,,,,,15,,4,,9.3,
