Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1956,128,334,206,1311,,,,,,,
1957,121,294,173,1380,,,,,,,
1958,136,300,164,855,30.2,18.2,22.3,15.6,26.1,17.1,
1959,119,309,190,1285,28,17.8,19.5,15,25.5,16.7,
1960,108,317,209,1253,30.7,19.4,22.2,15.2,27.1,17.1,
1961,97,317,220,1744,27,17.7,21.1,15.6,24.2,16.6,
1962,130,317,187,1354,28.4,17.7,21.9,15.5,25.4,16.6,
1963,115,290,175,1399,28.1,18.3,22.3,15.4,25.9,16.8,
1964,120,311,191,1269,29.5,16.9,22.7,14.4,26.2,15.8,
1965,128,310,182,1220,29.3,16.7,22.5,15.4,26.2,16,
1966,113,321,208,1246,29.8,17.8,23.1,13.8,26.5,16.4,
1967,123,304,181,1558,28.4,17.4,19.2,15.2,24.9,16.6,
1968,103,323,220,1278,,,,,,,
1969,105,301,196,1264,29.4,18.3,23.3,15.6,26.6,17.1,
1970,93,322,229,1478,30.6,17.3,22.4,14.7,25.7,16.3,
1971,126,323,197,1258,29.2,17.5,20,13.9,25.9,15.7,
1972,108,311,203,1425,29.4,18.3,20.8,15,26.6,16.8,
1973,123,340,217,1228,29.8,17.6,20,13.5,25.9,15.9,
1974,106,326,220,1281,30.7,17.9,23.5,14,26.7,16,
1975,109,317,208,1433,29.7,17,21,14.4,26.3,15.8,
1976,110,319,209,1202,29.5,18.2,20.1,14.8,26.8,16.6,
1977,115,311,196,1453,29.5,17.6,22.6,15,26.6,16.6,
1978,114,321,207,1687,30.2,17.8,21.4,14.8,25.9,16.8,
1979,104,314,210,1436,30,18.2,21.4,15.1,26.7,16.6,
1980,109,294,185,1292,29.5,17.9,23.5,15.4,26.6,16.9,
1981,105,322,217,1163,31.4,18.6,22.1,14.5,28,16.8,
1982,100,312,212,1449,30.2,18.7,22.5,15,26.6,17.3,
1983,148,299,151,1010,29.8,17.9,21.2,14.5,26,16.8,
1984,106,306,200,1389,29.8,18.3,23.2,15.8,26.5,16.7,
1985,124,316,192,1241,30.4,18,22,15.4,26.9,16.9,
1986,97,300,203,1232,29.2,18.3,23.5,16.1,26.6,17.2,
1987,108,300,192,1272,32.1,18.7,22.7,16,28.4,17.4,
1988,105,317,212,1222,29.2,17.4,23,15.2,26.9,16.6,
1989,102,311,209,1447,29.3,18.9,19.7,15.7,26.4,17.1,
1990,149,311,162,1290,36.3,18.3,24.5,15.5,28,17,
1991,113,338,225,1111,32.5,19,24.3,15.5,28.6,16.7,
1992,106,321,215,1187,30.4,18.2,24.3,15.7,27.6,17,
1993,119,310,191,1106,32.3,18.3,21.4,15.2,27.8,16.9,
1994,107,306,199,1135,31.6,17.8,23.4,14.6,27.6,17,
1995,99,312,213,1367,30.1,18.2,24,14.9,27.4,16.6,
1996,140,316,176,1239,29.8,18.2,23.2,15.1,27.2,16.8,
1997,112,285,173,1391,,18.2,,15.6,,17.2,
1998,121,306,185,1233,30.6,17.6,24.9,14.6,28.2,16,
1999,120,306,186,1130,,,,,,,
2000,136,308,172,1263,31.2,18.3,21.6,15.1,26.4,17.2,
2001,110,311,201,1483,,18.9,,15.1,,17.4,
2002,124,262,138,930,,,,,,,
2003,110,302,192,1327,29.9,18.6,22.3,16.1,27.1,17.2,
2004,115,301,186,1445,31.3,17.8,25.2,14.6,28.4,16.6,
2005,130,251,121,1050,,,,,,,
2006,124,281,157,1145,30.2,18,22.6,14.1,26.5,15.2,
2007,131,312,181,,,,,,,,
2008,114,297,183,1165,,,,,,,
2009,96,305,209,1389,30.9,17.9,23.9,14.4,27.2,16.2,
2010,138,299,161,1208,31.8,16.2,23.3,13.2,27,14.7,
2011,118,297,179,1279,31.8,15.9,21.8,13.9,27.1,15.1,
2012,124,308,184,1231,32,,21.6,,27.3,,
2013,131,309,178,1447,,,,,,,
2014,157,319,162,1345,,19.4,,16.6,,17.9,
2015,122,310,188,1529,,18.7,,15.6,,17.2,
2016,144,310,166,1183,32.2,18.8,23.3,15.8,28.2,17.4,
2017,118,329,211,1793,32.2,23.4,22.4,17.2,28.9,18.3,
2018,132,304,172,1223,,19,,12.8,,17.6,
2019,95,312,217,1627,31.3,19.3,20.1,14,28,18.1,
2020,137,317,180,1419,,,,,,,
2021,139,304,165,1133,35.4,23.2,22,12.4,30,18.4,
2022,119,,,,,,,,,,
2023,,,,1197,,20.6,,2.1,,17.5,
2024,93,330,237,1435,,,,,,,
2025,,,,,32,16.6,25.1,11.3,29.1,13.7,
