Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1931,,276,,75,,,,,,,
1932,158,245,87,433,,,,,,,
1933,144,245,101,718,,,,,,,
1934,158,245,87,529,,,,,,,
1935,146,255,109,649,,,,,,,
1936,103,287,184,778,,,,,,,
1937,150,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,289,,,,,,,,,
1947,99,,,,,,,,,,
1948,111,245,134,544,,,,,,,
1949,,286,,633,,,,,,,
1950,158,245,87,727,38.3,21.8,25.6,17.2,29.5,19.4,
1951,114,265,151,1181,34.2,21,20.9,16.2,28.7,18.6,
1952,147,274,127,910,35.6,22.2,22.4,16.4,30.9,18.8,
1953,137,267,130,671,35,21.1,20.7,15.6,30,18.8,
1954,122,269,147,914,34.2,20.8,24.9,16.7,27.8,19.1,
1955,169,302,133,818,34.4,20.8,17.9,17.1,29.3,18.9,
1956,129,270,141,685,34.1,20.2,24,14.3,29,17.7,
1957,147,269,122,1396,36.1,22.9,21.7,16.1,28.9,19.3,
1958,113,245,132,839,33,20.9,21.4,16.8,29.1,19,
1959,170,245,75,508,37.1,25.4,22.9,18,30.1,19.8,
1960,134,293,159,778,36.7,20.6,23.4,16.9,32.1,18.9,
1961,155,259,104,591,34.2,20.8,24.4,15.9,30.6,18.8,
1962,137,267,130,985,30.8,19.8,23.6,15.7,27,18.6,
1963,119,245,126,585,34.1,20.2,21.3,13.5,29.3,17.7,
1964,143,245,102,552,31.7,20,22.2,14.6,28.3,18.4,
1965,135,277,142,791,35.9,21.9,25.8,17.4,31.5,19.3,
1966,170,272,102,716,36.2,22.6,23.6,17.3,31.5,19.4,
1967,121,254,133,635,35.8,21.1,24.7,14.4,30.5,18.1,
1968,139,253,114,654,34.9,20.9,21.9,16.1,29.6,18.7,
1969,156,245,89,594,31.2,20.3,21.1,18.1,26.4,19.1,
1970,136,245,109,704,35,22.3,26.7,10.8,31,18.6,
1971,166,250,84,835,35.9,21.4,24.8,16.2,30.5,18.9,
1972,165,249,84,484,38.2,23.3,26.8,16.9,33.5,20.4,
1973,147,269,122,1003,32,21,22.1,17,27.2,18.6,
1974,140,278,138,881,31.5,19.8,19.5,15.7,27.5,18.3,
1975,156,245,89,679,35.1,20.6,24.9,16.2,29.6,18.6,
1976,,273,,535,35.2,21.4,26.7,14.5,31.3,18.7,
1977,149,280,131,1036,32.6,20.7,22.4,16.6,28.5,19.3,
1978,,263,,601,34.4,22.2,20,14.4,29.6,18.1,
1979,112,258,146,531,32.3,20.5,23.4,15,28.7,18.2,
1980,132,275,143,952,34.2,20.3,27.4,17.2,31.4,19.1,
1981,174,245,71,371,37.5,22,31,15.4,33.6,19.1,
