month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1956-01,295.2,,,,,,
1956-02,169.1,,,,,,
1956-03,304.9,,,,,,
1956-04,83.7,,,,,,
1956-05,6.9,,,,,,
1956-06,0,,,,,,
1956-07,0,1.7,6,12.2,17.8,23.7,28.7
1956-08,0,3.9,7.9,13.4,22.2,25.7,29.9
1956-09,0,7.2,11.7,17.8,24.3,28.4,34.8
1956-10,0,9.4,13.6,18.1,27.8,30.1,31.9
1956-11,42.5,12.1,15.8,18.7,23.9,29.9,33.9
1956-12,220.8,13.9,17,18.9,23.3,27.5,31.7
1957-01,188.1,15.5,17.2,18.6,22.5,26.5,30.1
1957-02,306.8,14.6,17.2,18.7,20,25.7,29.7
1957-03,114.4,13.9,16.5,20.8,23.9,27.1,30.6
1957-04,58.2,11.4,15,18.3,22.1,26.6,29.2
1957-05,11.4,4.2,10.7,17.9,16.7,25.3,29.1
1957-06,0,2.8,6.2,10.3,22.1,24.9,28.3
1957-07,0,2.7,5.7,11.7,22.4,25,27.9
1957-08,0,6.4,9.6,15.3,22.3,25.6,29.6
1957-09,0,8.9,13,19,24.6,29.2,33.1
1957-10,0,11.7,16.2,19.7,29,31.3,34.4
1957-11,1.5,12.5,16,19.8,29.6,32.5,35.3
1957-12,126,16.3,18,20,22.6,27.7,31.7
1958-01,157.5,16.7,18.1,19.4,22.9,27.8,31.7
1958-02,102.8,15.6,18,19.4,23.7,26.9,29.9
1958-03,82.4,13.4,16.9,18.9,21.7,27.4,29.7
1958-04,25.4,9.2,14.4,17.5,26.1,28.5,30.6
1958-05,0,5.7,10.4,17.5,23.8,26.9,29.4
1958-06,0,4.8,8.9,15.4,18.9,24.5,28.3
1958-07,0,2.1,6.5,13.3,21.3,23.6,25.8
1958-08,0,5,9.1,14.7,18.9,25.6,31.6
1958-09,0,8.8,13.7,17.9,24.3,29.7,33.1
1958-10,1.8,11.2,15.8,20.3,26.2,31.2,34.9
1958-11,55.2,14.5,17.6,21.6,26.8,31.4,33.8
1958-12,336,15.2,17.4,18.8,22.7,28,32.2
1959-01,220.4,15.1,17.6,19.3,23.8,27.6,31.3
1959-02,202.6,15.9,18,19.5,21,26.5,30.2
1959-03,142,10.6,16.1,18.7,24.4,26.9,30.3
1959-04,41.8,11.4,14.3,17.7,23.9,26.9,29.4
1959-05,0,4.3,10.4,16.6,25.5,27.9,30.5
1959-06,0,4.5,8.6,14.9,21.9,24.6,27.2
1959-07,0,4.2,8.2,13.3,20.8,24.3,27.3
1959-08,0.5,5.1,9.9,14.9,21.7,26,30.5
1959-09,0,9.4,12.6,17.3,24.7,28.3,32.8
1959-10,71.7,10.8,15.6,20.1,22.8,30.5,33.9
1959-11,46.4,12.2,16.8,19.4,22.2,30.2,33.9
1959-12,281.3,15.6,17.4,18.8,20.7,27.8,30.7
1960-01,151.5,13.4,17.3,18.3,21.7,27.1,30.6
1960-02,129.6,15.5,17.4,19.4,22.2,26.3,29.5
1960-03,243.4,11.1,16.2,18.6,22.8,25.3,27.8
1960-04,8.1,10.6,14.2,17.7,23.4,26.7,30.5
1960-05,0,6.1,10.5,14.4,22.8,26.4,30.6
1960-06,0,6.1,9.6,13.3,21.3,24.8,27.2
1960-07,0,2.8,7.1,14.9,18.9,23,27.3
1960-08,0,4,7.5,12.8,23.1,25.9,28.4
1960-09,2.5,7.2,12.6,16.7,25.6,28,32.7
1960-10,0,11.1,14.9,21.1,26.4,30.3,33.4
1960-11,42.9,13.4,16.4,19.2,26.1,30.5,33.6
1960-12,107.9,15,17.8,20,23.8,29.2,34.9
1961-01,252,15.7,17.4,18.9,21.4,27,30.3
1961-02,81.4,14.4,16.9,18.3,21.6,26.3,29.5
1961-03,214,15,17,18.8,22.8,27.1,28.9
1961-04,84.5,13.3,15.8,18.1,21.7,27,29.6
1961-05,0.3,5.7,11.7,16.7,23.9,27.4,30.1
1961-06,6.1,4.8,9.1,12.9,22.7,25.5,28.4
1961-07,0.5,7.2,10.8,15.6,20.1,23.9,26.2
1961-08,0.3,4.4,8,11.1,19.5,24.7,28.4
1961-09,0,7.2,12.4,18.3,25,28.2,30.8
1961-10,6.6,12.8,16.5,20.5,28.4,31.5,34.6
1961-11,61,13.3,17.6,21.1,23.6,29.4,35.6
1961-12,282.9,15.1,17.3,19,21,26,30.6
1962-01,449.2,16.7,17.9,18.9,21.7,25.2,27.7
1962-02,195.4,16.1,17.6,18.8,21.7,26.3,29.3
1962-03,166.3,13.9,16.8,18.5,23.3,26.6,29.4
1962-04,42,11.7,15.3,17.7,23.6,26.7,29.5
1962-05,0,5.5,9.6,13.3,22.5,24.6,26.6
1962-06,0,2.2,7.1,12.2,23.3,25.5,27.9
1962-07,0,5.1,8.2,14.5,19.3,24.1,27.8
1962-08,0,5.8,9.5,14.2,21.6,25.9,30.8
1962-09,0,7.7,11.6,16.6,25.1,28.2,32.2
1962-10,6.9,12.2,15.3,18.4,27,30.8,34.2
1962-11,81.2,14.4,16.8,19,23.9,29.5,33.2
1962-12,252.4,15.3,17,18.9,21.2,27.1,30.1
1963-01,242.8,14.4,16.6,17.8,21.7,26.3,29.4
1963-02,246.6,15.6,17,18.7,22.8,25.9,29.1
1963-03,176.9,12.5,16.4,18.1,20.1,26.1,28.4
1963-04,73,10.1,14.1,17.2,20.8,25.7,28.4
1963-05,0,5.3,10.1,14.5,22.8,25.5,29.5
1963-06,0,2.7,6.3,11.8,21.1,24.2,27.3
1963-07,0,5.3,7.8,11.7,22.3,25.1,27.8
1963-08,0,3.9,7.9,29.9,20.9,25.9,29.9
1963-09,0,7.8,12.3,18.4,24.2,28.3,32.5
1963-10,12.2,10.3,16.3,20.1,29.4,31.8,33.9
1963-11,148.9,15.6,17.4,18.9,24.9,27,29.6
1963-12,238.9,15,17.5,18.9,23.1,26.7,30.2
1964-01,263.3,16.6,17.7,18.9,22.2,26.4,28.9
1964-02,289.3,15.3,17.8,18.8,22.7,27.3,30.3
1964-03,79.8,14.4,16.7,18.8,23.8,27.8,30.7
1964-04,0,10.3,13.3,16.7,22.1,27.6,30.4
1964-05,0,6.8,10.1,13.6,22.8,25.8,28.3
1964-06,0,1.8,7.4,11.7,19.7,25.1,28.8
1964-07,1.8,2.2,6.1,17.4,17.4,22.6,25.9
1964-08,0,3.8,9.5,14.4,20.6,25.1,28.7
1964-09,0,0.7,10.6,26.2,24.4,27.1,30.3
1964-10,0,10.8,14.5,18.3,26.8,30.2,33.4
1964-11,83.3,11.7,16,19.2,21.7,30.1,33.6
1964-12,147.5,14.5,16.7,19,22.2,27.4,30.5
1965-01,286.4,15.1,16.7,17.8,20.6,25.7,30.5
1965-02,240.9,14.4,17.1,19.9,19.9,25.8,29.2
1965-03,64.9,14.2,16.5,18.4,22.5,26.3,29.6
1965-04,18.9,10,13.8,23.9,23.9,26.8,29.7
1965-05,0,6.2,9.5,14.4,22.5,25.3,29.4
1965-06,0.5,3.1,7.2,15.6,19.7,24.5,29.7
1965-07,0,0.4,6.5,12.7,20.3,24.2,28.4
1965-08,0,3.6,7.7,13.4,22.3,25.4,28.8
1965-09,0,7.5,12.9,18.4,22.2,27.9,32.8
1965-10,2.3,10.7,15.7,21.2,19.4,29.9,33.8
1965-11,9,14.4,17.2,20.1,26.4,30.9,33.8
1965-12,265.9,16.4,18,19.4,23.9,27.6,31.2
1966-01,142.2,15,17.2,18.9,24.5,27.2,29.6
1966-02,227.1,15.1,17.8,19.2,23.4,26.7,29
1966-03,109.3,10.6,15.6,17.8,23.9,27,29.2
1966-04,18.8,10,14.3,16.7,23.4,27.5,31.7
1966-05,34,10,12.9,17.3,24.5,27.3,31.1
1966-06,0,4.4,9.4,13.6,20.5,24.3,26.9
1966-07,0,3.3,7.5,13.4,20,24.6,28.2
1966-08,0,5.6,9.8,15,20,26.7,30.1
1966-09,0,8.3,13.6,18.9,25.7,29.2,32.9
1966-10,0,12.2,15.5,20,21.1,30.2,32.9
1966-11,124.8,11.8,16.7,20.7,24.5,29.7,32.9
1966-12,93.4,15,17.3,18.9,23.4,28,32.2
1967-01,158.5,15.6,17.3,18.9,21.2,26.9,30.6
1967-02,146.9,15.3,17.3,18.9,,,
1967-03,155.9,15.1,17.2,18.9,16.7,26.3,29.9
1967-04,100.3,13.1,15.9,18.3,24.4,27.6,29.7
1967-05,2.8,8.4,12.3,16.8,23.8,26.3,28.4
1967-06,1,,,,,,
1967-07,0.3,2.3,8.1,13.8,19.5,24.3,27.2
1967-08,0,5.5,10.2,14.9,20,25,28.3
1967-09,0,7.8,13.4,18.3,16.2,28,31.9
1967-10,10.6,13.9,16.5,18.9,26.4,31.3,34.4
1967-11,16.3,13.9,17.2,19.4,26.7,30.3,34.3
1967-12,219.3,13.9,17.4,18.9,21.4,27.1,32.2
1968-01,136.7,15.1,17.6,18.9,20.3,26.6,29.8
1968-02,216,14.9,17.2,19,21,26.5,28.8
1968-03,175.1,12.8,15.9,18.4,22.3,26.5,28.9
1968-04,52.6,9.4,14,18.3,22.7,26.8,29.9
1968-05,17.8,7.3,10.7,14.4,20.1,26.3,30.1
1968-06,0,2.7,8.1,16.1,19.6,24.4,28.8
1968-07,1.6,1.7,7.8,16.1,20.3,24.2,28.9
1968-08,0,5.5,8.1,11.7,23.2,26.1,29.5
1968-09,0.3,8.9,12.6,18.3,23.4,28.5,32.9
1968-10,0,13.3,16.5,21.1,27.2,30.9,35.1
1968-11,71.9,15,17.4,19.9,24.4,29.3,31.8
1968-12,268.8,16.2,17.9,19.4,24.8,27.4,30.6
1969-01,181.6,,,,,,
1969-02,166.7,15.1,17.7,18.4,22.8,27.1,29.3
1969-03,96.9,15.6,17.2,18.9,24.4,27.8,29.4
1969-04,70.3,12.8,16.3,18.9,25.1,27.7,29.9
1969-05,0,7.2,12.4,18.3,22.2,26.7,30
1969-06,0,4.6,8.1,12.8,20.6,25.5,29.5
1969-07,0,,,,,,
1969-08,0,,,,,,
1969-09,0,,,,,,
1969-10,2.1,12.6,16.5,19.7,27.9,31.7,35
1969-11,9.4,14.6,17.3,20,20.7,31,33.7
1969-12,130.1,16.8,18.3,19.8,24.4,28.3,30.8
1970-01,204.9,14.6,17.8,19.4,21.7,26.3,30.7
1970-02,81.6,,,,23.5,27.4,31.4
1970-03,78.4,,,,24.3,27.3,31.7
1970-04,31.7,11.6,14.8,19,24.4,27.9,30.1
1970-05,0,,,,,,
1970-06,0,,,,,,
1970-07,0,,,,,,
1970-08,0,,,,,,
1970-09,0,,,,,,
1970-10,0,,,,,,
1970-11,63.4,,,,,,
1971-06,0,,,,,,
1971-07,0,3.2,8.4,12.8,20.5,24.2,26.9
1971-08,0,,,,,,
1971-09,1.5,10,12.9,17.8,25.2,28.1,31.7
1971-10,0,,,,,,
1971-11,81,13.2,16.8,19.7,24.9,29.9,33.9
1971-12,118.7,14.8,16.9,18.9,23.1,28,32.3
1972-01,175.3,14.6,17.1,18.9,20.8,27.2,30.6
1972-02,110.4,16.2,17.5,19.6,21.7,26.3,28.9
1972-03,124.1,13.1,16,18.1,24.4,27.5,31.2
1972-04,29.3,13,15.6,17.8,23.7,27.7,31.2
1972-05,9.2,11.5,13.9,16.2,22.6,26.7,29.5
1972-06,0.3,,,,,,
1972-07,0,4.3,7.9,12.5,20.7,24.3,28.7
1972-08,0,6.3,9.2,14.8,20.1,26.5,30.4
1972-09,0,6.7,13.2,18.8,24.9,29.5,34.3
1972-10,8.8,14.7,17.7,20.3,25.9,31.1,33.7
1972-11,108,13.9,17.8,20.6,23.2,29.8,35.3
1972-12,134,16.1,18.2,20.8,21.1,27.9,33.1
1973-01,101.5,,,,24,27.4,31
1973-02,21.5,16,17.8,21,21,27.6,31
1973-03,230,14.7,17.8,19.5,20.4,24.6,29
1973-04,89.1,12.8,16.2,18.4,23.3,26.4,29.6
1973-05,0,5.1,10.1,15.7,23.9,27.5,30.7
1973-06,0,5,8.3,15.5,19.6,23.9,27.2
1973-07,0,2.4,6.8,11.3,19.5,24,27.2
1973-08,0,4.5,8.6,13.1,20,25.9,29.4
1973-09,0,8.2,12.7,19.5,25.7,29.7,34.4
1973-10,15.5,,,,21.6,30.7,33.8
1973-11,11.9,10.6,17.4,21,26,30.9,35
1973-12,75.1,16,17.5,19,25.9,28.7,32
1974-01,222.4,14,16.8,18.6,22.3,26.3,28.9
1974-02,131.3,15.4,16.8,18.4,22,27.4,30.5
1974-03,246,14.1,16.3,18,19.5,26.7,29.4
1974-04,32.2,11.8,14.6,18.5,22.4,26.5,29.5
1974-05,45.9,7.6,13.2,17.3,20.6,25,28.7
1974-06,0,4.3,7.3,11.3,21.7,24.7,27.7
1974-07,0.2,2.8,8.2,12,18.5,23.6,27.1
1974-08,0,3.2,8.9,14,23,26.8,32
1974-09,0,7.9,11.4,14.6,25,27.8,30
1974-10,0,,,,,,
1974-11,58.8,14.5,16.9,19.2,26,30.2,33
1974-12,124,14,17.2,19.1,24.2,28,33.3
1975-01,124.2,14.5,16.8,18.6,22.5,27.8,32.2
1975-02,135.2,15.5,17.1,18.9,23.3,28.3,31.5
1975-03,201.6,13,16.4,18.4,24.2,26.9,28.9
1975-04,46.7,13,15,17.6,23.4,26.9,29
1975-05,0.5,6.2,11.4,15.7,22.3,27.1,31.5
1975-06,0,6.6,9.3,13.2,22.6,24.5,27.4
1975-07,0,0,7.9,12.9,21.2,25.5,29
1975-08,0,5,9.5,15.4,21.1,25.1,31.8
1975-09,0,8.2,11.6,15,25.6,28.2,32.7
1975-10,0,10.6,14.2,17.2,26.6,30.2,32.9
