Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,284,,,,,,,,,
1950,134,270,136,576,35.2,20.6,18.9,6,26.7,14.5,
1951,129,,,1025,36.2,20.7,15.4,6.6,26.6,14.8,
1952,130,293,127,990,35.5,21.6,16.7,5.5,26.5,14.6,
1953,130,264,134,770,34.8,21.1,17.1,4.9,26.3,14.3,
1954,146,309,163,646,36.1,21.9,17.7,6.9,26.1,14.5,
1955,130,303,173,855,36.1,21.6,16.4,3.9,26,14.7,
1956,124,291,167,772,34.6,20,16.9,6.9,26,14.3,
1957,161,281,120,858,34.5,22.5,16.7,6.2,26.7,15.5,
1958,136,267,131,740,34.5,21.3,17.2,7.1,26.3,14.9,
1959,125,264,101,763,34.1,21.7,17.9,6.9,26,14.8,
1960,148,295,147,770,33.7,21.6,17.7,6.1,26.1,15.3,
1961,130,293,163,839,35.4,21.6,16.1,6.7,25.4,14.6,
1962,132,275,143,964,34.9,20.6,17.1,6.1,25.7,14.4,
1963,153,264,111,644,34.1,20.6,18.4,5,26.3,14.6,
1964,128,289,161,892,33.7,21.2,15.6,5.6,25.5,13.9,
1965,137,,,482,33.6,21.7,17.7,5.7,25.9,14.9,
1966,163,309,146,795,33.9,22.3,18.1,5.7,26.5,15,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,125,305,180,1366,,,,,,,
1974,138,266,128,1264,34.4,22.3,16.8,6.7,25.7,15,
1975,152,302,150,763,33.8,21.5,15.4,5.7,25.3,14.7,
1976,137,283,146,685,34.1,22.6,17.5,5.5,26.1,14.8,
1977,148,314,166,1336,34.5,23,17.4,1.1,25.6,15,
1978,128,277,120,801,35,21.6,14.5,5.5,25.7,14.1,
1979,133,301,168,759,34.1,20.5,16.2,4.2,25.7,14.3,
1980,143,315,172,1006,33.1,21.2,11.9,5.2,25.4,14.4,
1981,144,299,118,793,34.9,21.4,15.8,6,26.2,14.4,
1982,145,304,142,586,33.8,21.1,15.3,7.3,26.7,15.3,
1983,146,280,134,612,33.9,26.6,16.2,5.5,26.6,15,
1984,127,262,135,723,34.4,23,17.4,5.4,25.9,14.5,
1985,168,317,149,1104,32.5,20.4,16.2,4.8,25.3,14.1,
1986,155,,,622,33.8,19.6,15.2,5.4,26.6,13.9,
1987,158,284,126,741,37,22.5,17,4.8,26.8,15.5,
1988,156,291,135,1093,34.8,22.5,16.7,7,26,15,
1989,138,314,135,867,39.6,23,16.6,7.2,26.7,14.8,
1990,145,302,131,954,38.1,22.3,18.7,5.8,27,14.2,
1991,136,281,145,595,33.5,20.3,18.4,5.7,27.3,15.1,
1992,147,299,152,769,35.1,22.1,18.4,6,26.7,15.1,
1993,133,304,171,437,34.4,20.8,17.9,5.4,27.1,14.9,
1994,152,270,118,405,35.8,22.9,18,5.6,27.6,15.5,
1995,144,274,130,575,35.5,21.5,15.5,5,26.7,15.4,
1996,140,297,157,825,35.4,22.7,18,3,27.2,15.2,
1997,139,274,135,723,35.7,24.6,16.2,5.6,27.6,15.1,
1998,148,,,948,37,22,16.7,6.2,27.4,15.4,
1999,148,286,138,970,35.8,22.9,18.2,6.5,26.8,15.5,
2000,135,286,151,1095,35.5,22.8,16.7,6.4,26.9,15.5,
2001,132,307,151,535,,,,,,,
2002,128,286,124,924,35,22,17.5,6,27.5,15.1,
2003,139,278,139,938,36.4,,16.8,,26.7,,
2004,157,253,74,733,36,22,18.4,5,27.3,14.9,
2005,153,285,132,893,36.9,20.9,16,5.6,27.1,15.3,
2006,162,260,98,650,,24,,4,,15.1,
2007,140,274,134,1067,36.5,22.4,15,7.3,26.4,15,
2008,128,276,148,833,35.1,21.5,12,5.5,27.2,15,
2009,135,289,154,1048,34.5,22,15.4,3,26.9,15.1,
2010,125,288,163,869,36.1,22,18,6,27.1,14.3,
2011,138,288,150,701,,23.5,,6.5,,15,
2012,158,266,,,,,,,,,
2013,143,313,149,751,,22.4,,8,,15.7,
2014,139,,,,35.2,,18.6,,27.1,,
2015,145,284,,,35.6,,18.1,,28.1,,
2016,148,301,153,,37.2,24.4,19.4,7.3,27.4,16.6,
2017,165,277,112,669,37,24,19,6,26.8,16,
2018,145,304,146,615,39.5,22.5,17.8,8.1,27.9,16.1,
2019,135,,,791,37.2,,18,,27.8,,
2020,143,275,132,977,37,,17,,27.3,,
2021,126,298,172,598,36,23.7,16,7,27,16.5,
2022,127,,,,35.2,23.5,19,7.8,27.7,16.5,
2023,146,274,,677,,,,,,,
