Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,306,,,,,,,,,
1967,155,304,149,785,37.2,21.1,18.1,0.2,27,13.6,
1968,147,290,143,878,37.1,22.5,18.3,4.4,27.4,14.1,
1969,133,291,139,704,35.1,20.6,19.1,4.1,27.6,13.7,
1970,129,291,162,827,34.6,19.5,19.6,3.9,27.3,13.6,
1971,139,284,129,833,34.6,20,16.7,4.6,27.4,13.5,
1972,151,287,136,671,35.5,21.4,18.4,3.7,27.9,13.6,
1973,130,286,136,936,35.5,19.6,16.5,3,26.6,13.3,
1974,138,282,144,981,36,20.9,18.4,2.5,27.1,13.6,
1975,151,302,133,974,35.8,20.6,16.4,3.1,26.5,13.5,
1976,125,283,158,755,35.5,21.1,18.3,2.8,27.3,13.4,
1977,148,312,164,1304,35.9,21.4,17.5,4,27.2,14.1,
1978,128,277,122,914,36.1,20.1,16.4,3.7,27.4,13.3,
1979,133,296,163,1178,35.8,20.1,16.9,3.6,27.3,13.5,
1980,144,321,151,1095,34.8,20.7,16.4,1,26.9,13.4,
1981,146,294,115,921,36.2,21.4,16.2,3.8,27.7,13.4,
1982,145,270,125,717,35.1,21.2,16.4,2.5,28.2,14.1,
1983,160,277,117,570,39.6,21.6,18.5,4.4,28.3,13.8,
1984,127,270,116,923,36,21.3,18,5,27.5,13.6,
1985,126,318,161,1072,36,19.9,16.5,0.7,26.9,13.6,
1986,153,270,117,674,35.5,20,14.5,3.5,28.1,13.6,
1987,151,281,130,700,38.6,21.1,19.9,4,28.5,14.5,
1988,154,294,140,1250,36.2,21.2,17.2,3.8,27.4,13.9,
1989,138,312,144,780,38.5,23,17.2,4.3,28,14.2,
1990,168,277,109,740,36.5,22.3,19,4,27.8,13.9,
1991,136,283,147,529,35,20.9,17.6,5,28.6,14.2,
1992,132,,,,,,,,,,
1993,147,,,425,,,,,,,
1994,127,274,147,,,,,,,,
1995,145,280,135,743,37,21.6,16,3.5,28,14.4,
1996,139,299,160,991,36.5,20.7,17.8,3.5,28.2,14.2,
1997,151,266,115,611,37,22.3,16.4,5.4,28.4,14.5,
1998,146,,,924,38,23,20.4,2.7,28.2,14.6,
1999,134,285,122,742,36.2,22.5,18.5,5.6,27.7,15.1,
2000,153,287,134,961,,,,,,,
2001,132,304,172,618,,24,,3.8,,13.6,
2002,129,290,127,636,,,,,,,
2003,151,296,145,733,,,,,,,
2004,147,285,138,686,36.5,22,19.5,4.9,28.3,14.6,
2005,149,286,137,946,38,23,16.7,4.8,28.3,14.9,
2006,137,270,133,741,37.4,,20.4,,28.4,,
2007,148,281,133,1180,36.1,,17.1,,27.8,,
2008,141,285,144,936,36.5,,19,,27.9,,
2009,134,278,144,1004,35.8,,19.8,,28.5,,
2010,147,286,139,771,37.4,,18.5,,28.3,,
2011,149,280,131,623,37.8,,17.7,,28.2,,
2012,147,262,115,733,38.9,,19.5,,28.8,,
2013,145,266,101,,,,,,,,
2014,140,312,,,,,,,,,
2015,155,291,136,547,,,,,,,
2016,148,277,129,,,,,,,,
2017,138,278,104,744,37,,20,,27.6,,
2018,146,297,,,35.9,,17.4,,28.5,,
2019,134,,,809,,,,,,,
2020,,307,,,,,,,,,
2021,169,296,,277,37.8,,17,,27.7,,
2022,127,,,,35.4,,17.5,,28.1,,
2023,149,292,,,37.4,,19.1,,29.3,,
