Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1977,,331,,,,,,,,,
1978,155,281,126,762,36.5,21.6,17,1.5,28.5,13,
1979,146,265,119,762,37.4,21.5,20,2,28.4,13.8,
1980,163,278,115,893,35.7,21.9,18.4,1.7,27.7,13.9,
1981,173,259,86,608,37.1,21.5,19.3,2.4,28.9,13.6,
1982,162,306,144,571,35.7,23,16.8,0.6,29.5,14.1,
1983,145,289,144,572,37.1,22.2,18.2,2.6,29.1,13.9,
1984,159,261,102,744,36.8,22.9,20.5,1.1,28.5,13.9,
1985,168,308,140,700,35.7,23.1,18.3,0.2,28,13.6,
1986,197,318,121,534,,,,,,,
1987,160,283,123,577,39.8,22.6,17.7,0.4,29.5,14.7,
1988,153,274,121,930,36.1,21.1,20.1,2.5,28.2,13.5,
1989,181,307,126,712,37.2,23.6,19,3.4,29.3,14.3,
1990,171,273,102,641,38.2,23.5,21,3.3,29.4,13.7,
1991,176,305,129,437,36.5,20.8,20.3,2.8,30.1,14.1,
1992,163,272,109,823,,,,,,,
1993,149,259,110,556,,,,,,,
1994,174,274,100,431,,,,,,,
1995,142,271,129,685,38.8,23.8,17.3,2.8,29.2,14.6,
1996,138,291,153,1031,38.2,24.1,17.2,1.9,29.1,13.9,
1997,171,249,78,462,38.5,21.8,18.1,1.4,29.5,13.6,
1998,153,274,121,840,38.9,22.6,21.1,3.2,29.2,14.2,
1999,144,290,146,809,37.5,22.2,19.5,3.5,28.9,14.9,
2000,153,283,130,747,,21.7,,3.5,,14.8,
2001,140,295,155,607,37.1,21.5,21.1,1,29.9,14.8,
2002,164,287,123,719,37.6,23,19.8,5.4,29.8,15.2,
2003,150,281,131,748,,,,,,,
2004,149,248,99,565,,,,,,,
2005,148,283,135,790,38.4,23,18.1,2.4,29.3,14.5,
2006,162,283,121,736,38.1,22.4,21.7,0.3,29.5,14.3,
2007,141,278,137,1112,38.3,21.4,18.6,3,28.9,13.8,
2008,170,316,146,833,38.2,21.6,20.5,3,28.9,14.2,
2009,139,285,146,664,38.8,22.5,19,3.5,29,14.9,
2010,152,305,153,905,39.4,53.3,20.9,0.1,29.2,12.8,
2011,164,282,118,458,39,21.8,21.5,0.2,29.5,11.5,
2012,,257,,,37.8,,20.1,,30,,
2013,158,255,97,690,,26.6,,3.8,,14.3,
2014,166,289,123,423,,24,,1,,13.6,
2015,156,272,116,540,,24.1,,3.5,,13.7,
2016,164,295,131,852,,,,,,,
2017,159,295,136,824,39.8,23,21.8,3.2,29.9,14.3,
2018,162,299,137,429,,21.8,,0.1,,12.4,
2019,,278,,,,,,,,,
2020,156,309,153,798,,23.6,,2.3,,14.4,
2021,169,302,133,831,,21.9,,3.4,,14.3,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
