Year,End,Extreme_events,Length,Rainfall,Start
1959,296,,,,
1960,305,,174,1293,131
1961,309,,178,1490,131
1962,292,,155,1136,137
1963,285,,157,1174,128
1964,293,,158,967,135
1965,302,,176,1435,126
1966,308,,176,1050,132
1967,280,,156,1157,124
1968,298,,163,1132,135
1969,277,,153,1052,124
1970,289,,161,1460,128
1971,301,,160,1032,141
1972,302,,172,1072,130
1973,300,,167,1128,133
1974,289,,162,1183,127
1975,318,,161,1250,157
1976,291,,159,1002,132
1977,312,,185,1171,127
1978,317,,183,1573,134
1979,313,,180,1357,133
1980,292,,152,1148,140
1981,289,,148,917,141
1982,260,,128,1224,132
1983,295,,160,1181,135
1984,301,,167,1258,134
1985,313,,184,1292,129
1986,302,,177,1175,125
1987,298,,148,814,150
1988,301,,172,1103,129
1989,299,,160,1246,139
1990,302,,148,1108,154
1991,300,,155,949,145
1992,293,,133,961,160
1993,283,,146,826,137
1994,290,,116,955,174
1995,298,,161,1233,137
1996,303,,161,934,142
1997,287,,148,,139
1998,306,,161,1376,145
1999,,,,,129
2000,296,,,1343,
2001,308,,184,1337,124
2002,272,,124,1142,148
2003,301,,134,1008,167
2004,284,,140,1179,144
2005,301,,,,
2006,,,,,135
2007,288,,160,1110,128
2008,298,,166,1446,132
2009,292,,161,971,131
2010,299,,157,1166,142
2011,293,,166,1200,127
2012,287,,146,,141
2013,305,,160,,145
2014,311,,168,1093,143
2015,294,,,,
2016,319,,160,1104,159
2017,,,,,140
2018,292,,,,
2019,296,,157,1258,139
2020,293,,159,,134
2021,,,,,
