Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,,,,,,,,,,
1978,,,,,,,,,,,
1979,,,,,,,,,,,
1980,,,,,,,,,,,
1981,,,,,,,,,,,
1982,,,,,,,,,,,
1983,,,,,,,,,,,
1984,,,,,,,,,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,,,,,,,,,,,
1990,,,,,,,,,,,
1991,,293,,1057,30.5,18.6,22.5,15.6,27.5,17.1,
1992,160,295,135,840,32.9,19.4,22.9,14.9,28.6,17.4,
1993,131,,,,30.9,18.7,26.4,16.2,28.8,17.7,
1994,152,286,134,850,31.9,20,24.1,13.8,29.3,17.6,
1995,140,299,159,1218,31.1,18.9,24.1,16.5,28.2,17.7,
1996,140,299,159,990,33.5,19.4,25.6,17,29.4,18,
1997,,299,,1366,31.2,19.2,21.9,16.5,27.2,18.1,
1998,147,304,157,1215,,,,,,,
1999,129,,,,,,,,,,
2000,,,,,,,,,,,
2001,,,,,,,,,,,
2002,,254,,,,,,,,,
2003,,256,,733,,,,,,,
2004,121,264,143,701,,,,,,,
2005,,309,,1022,31.6,18.6,24.5,15.5,29.2,17.1,
2006,140,292,152,1076,32.9,18.4,21,15,28.2,17.3,
2007,115,289,174,1106,32.4,20.2,23.5,14.5,27.5,17.4,
2008,135,295,160,1261,30.5,20.7,22.1,14.9,28.4,16.8,
2009,139,290,151,962,32.3,18,25.1,16.1,29.2,17.2,
2010,136,296,160,1152,31.9,19.4,23.7,15,28.4,17.3,
2011,127,297,170,829,,,,,,,
2012,,,,,39.5,,21.6,,27.6,,
2013,,305,,,,,,,,,
2014,,269,,,,,,,,,
2015,,290,,,31.2,17.8,24.8,16,29.5,16.9,
2016,146,264,118,868,31.8,18.3,24.8,15.4,28.6,17,
2017,147,300,153,,,22,,12.5,,16.9,
2018,162,289,127,1052,,,,,,,
2019,139,,,,31,20.5,23.5,16.5,27,18.6,
2020,,,,,,,,,,,
2021,,,,,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
2024,,,,,,,,,,,
2025,,,,,,,,,,,
