Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1933,,,,,,,,,,,
1934,,,,,,,,,,,
1935,,,,,,,,,,,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,28.1,16.9,21.9,10.5,25.7,15,
1953,,,,,26.9,16.3,16.1,12.7,23.5,14.7,
1954,,,,,27.3,16,19.9,13.2,23,14.5,
1955,,,,,27.5,15.8,18.6,13,23,14.5,
1956,,,,,27.1,16.1,18.6,12,23.3,14.6,
1957,,,,,26.7,,16.1,,23.3,,
1958,,,,,27.2,16.7,17.8,13.8,23.3,15,
1959,,,,,26.3,16.2,18.3,13.9,23.2,15.1,
1960,,309,,,30.6,18.6,17.2,14,25.2,15.6,
1961,,312,181,1724,25.2,16.1,16.9,13.4,20.9,14.7,
1962,,300,171,1222,27.2,16.7,18.3,13.3,23.2,14.7,
1963,,307,183,1182,25.6,16.1,18.6,14.1,22.8,15,
1964,,313,179,1097,27.7,16.7,20.1,13.4,24,14.5,
1965,,304,160,1257,27.5,16.1,18.7,12.7,23,14.4,
1966,,320,158,1240,28.3,16.6,18.1,13.4,23.5,14.9,
1967,,316,193,1423,25,16.7,18.4,13.4,21.8,14.9,
1968,,301,153,1056,26.8,18.1,17.6,13.4,23,15.2,
1969,,309,174,1262,26.9,16.5,18.7,12.9,23.8,15.1,
1970,,290,160,1154,25.5,15.8,17.8,13.8,22.6,14.8,
1971,,308,171,1425,26.2,14.8,16.4,12.7,22.3,13.8,
1972,,303,173,1167,27,,19.2,,23.9,,
1973,,263,118,903,26.7,16.4,19.5,12.4,23.4,14.4,
1974,,326,182,1274,28.7,16,20.2,12.3,23.8,14.4,
1975,,312,156,1176,28.2,16.2,19.2,12.7,23.6,14.4,
1976,,308,136,882,,,,,,,
1977,,304,164,1220,28,16.6,19.8,7.8,23.9,14,
1978,,321,199,1565,25.6,16,18.6,13.9,22.5,15,
1979,,318,189,1198,26.9,16.5,18.8,12.3,24.1,15.2,
1980,,298,169,1194,27,16,19.2,13.5,23.4,14.7,
1981,,318,172,1081,28.5,16.5,20.9,14,25.3,15.1,
1982,,323,208,1305,27,17,19.8,13,23.2,15,
1983,,304,140,1108,29,16,19.5,13.2,23.4,14.8,
1984,,304,145,1207,29,15.7,20.5,12.7,23.7,14.6,
1985,,315,186,1232,,16,,13,,14.9,
1986,,314,189,1325,,16,,12.6,,14.9,
1987,,247,,468,28.7,17,22.3,13.9,25.5,15.5,
1988,,316,184,1539,27.8,18.8,21.9,13.3,24.6,15.2,
1989,,313,174,1099,27,19,16.9,12.5,23.6,15.2,
1990,,306,169,1462,,17,,12.5,,15.2,
1991,,316,180,1255,28,17.5,17.5,12.9,24.3,14.9,
1992,,303,164,1091,29.6,18,20,10,24.5,14.9,
1993,,312,180,982,30.2,16.5,23.1,13.6,26.8,15.3,
1994,,295,163,1305,28.8,18.5,22.5,13.6,25.3,15.6,
1995,,303,131,1074,32.2,17.5,20.4,13.8,26.7,15.7,
1996,,271,125,729,29.7,16.9,20.3,13.4,25.1,15.2,
1997,,313,166,1678,27.7,16.9,19.3,14.5,23.4,15.6,
1998,,306,160,949,28.5,16.6,20.6,12.9,25.4,14.9,
1999,,310,178,1091,30.7,20.7,20.5,12.4,27.3,15.3,
2000,,300,176,1418,31.5,17.8,22,13,27.1,14.7,
2001,,295,179,1030,,17,,12.4,,15.1,
2002,,311,181,1260,,17.9,,13,,15.4,
2003,,307,147,1156,,,,,,,
2004,,256,109,1010,,,,,,,
2005,,310,157,1050,33.3,16.4,19.5,12.6,26.5,14.7,
2006,,307,169,1490,27.5,16.5,18.2,12.6,22.4,15.1,
2007,,,,,29.5,19,18,13,24.4,14.8,
2008,,295,199,1211,28,16.6,22,9.4,24.9,14.8,
2009,,293,164,1105,30,17.8,21.1,14.5,25.4,15.5,
2010,,245,,873,30.5,16,18.1,13.3,23.8,14.6,
2011,,281,153,1042,29,16.3,20,12.6,24.7,14.4,
2012,,295,,881,32,,23,,29.1,,
2013,,305,,,,,,,,,
2014,,264,108,,,,,,,,
2015,,257,,819,30,,20.5,,25.4,,
2016,,,,,28.5,17.9,18,14,23.5,15.7,
2017,,,,,,,,,,,
2018,,,,,,,,,,,
2019,,,,,,,,,,,
2020,,307,,,,,,,,,
2021,,,,,31.4,19.2,22,13.4,27.8,16.6,
2022,,,,,28.8,16.4,21,14.6,24.9,15.4,
2023,,,,,29.8,18.6,20.5,12,25.7,16.6,
2024,,,,,,,,,,,
