Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1979,,282,,873,,,,,,,
1980,154,279,125,994,40.6,24.5,25,2.3,32,16.2,
1981,,285,,686,41.4,24,21.7,4.2,32.4,15.7,
1982,142,277,135,792,40,24.5,22.2,1,31.7,16.9,
1983,148,267,119,494,41.5,24.7,24.3,7.5,33.1,17.9,
1984,132,300,168,1060,40.8,24.8,21,8,32.6,17.2,
1985,133,304,171,976,40,23.8,22.3,3.9,31.3,16.1,
1986,106,246,140,664,40,,21.7,,31.4,,
1987,151,288,137,852,41.1,25.1,22.7,4.5,33.3,16.1,
1988,150,274,124,931,,,,,,,
1989,139,245,106,793,41,23.5,20,6.7,31.4,16.2,
1990,162,271,109,662,42.1,25.1,21.5,6,33,16.7,
1991,107,245,138,769,39.4,23.8,25,1,32.3,16.7,
1992,164,300,136,910,40.6,27.4,25,7.4,33.4,17.8,
1993,138,251,113,656,39.8,26.2,24,6,32.3,17.3,
1994,179,261,82,592,41.8,24.8,24.5,5.2,33.2,17.2,
1995,140,278,138,771,41.2,25.5,23.5,6.3,33.3,17.7,
1996,141,274,133,847,41.3,24.8,22.1,5.5,32.5,17.2,
1997,140,250,110,912,,,,,,,
1998,134,281,147,687,41.4,25.5,24.9,5.8,33.2,17.6,
1999,168,301,133,834,41.2,25.5,23,5.5,32.3,17.5,
2000,131,295,164,675,,,,,,,
2001,138,245,107,677,,,,,,,
2002,129,256,127,822,,,,,,,
2003,131,285,154,895,,,,,,,
2004,149,262,113,900,,,,,,,
2005,,286,,686,,,,,,,
2006,134,284,150,1041,,,,,,,
2007,151,273,122,870,,,,,,,
2008,132,296,164,1108,,,,,,,
2009,140,284,144,1041,41.5,,23,,33.2,,
2010,154,300,146,826,42.4,29.5,24.2,7.2,33.8,19.2,
2011,150,291,141,741,43.5,24.8,23,5,33.6,17.1,
2012,163,287,124,823,42.2,24.8,25.5,5,33.6,17.2,
2013,144,278,134,686,44.1,24.9,24.6,9,34.2,17.8,
2014,162,268,106,611,42,24.8,25.1,6.6,34,17.6,
2015,167,249,82,746,42.3,24.8,25.5,7.5,33.8,17.7,
2016,139,277,138,946,41.6,24.8,24.5,8.5,33.9,17.9,
2017,134,292,158,914,42.9,24.5,25.8,7.8,33.2,17.8,
2018,131,256,125,772,41.5,24,22.3,5.2,33.7,17.3,
2019,158,286,128,941,42.9,24.8,24.7,6,34.1,17.4,
2020,156,270,114,582,43,24,23.5,6.1,34,17.3,
2021,,266,,734,43.3,24.8,23.8,7,34.4,17.4,
2022,145,267,122,1036,41.7,24,21,0.5,33.4,17.3,
2023,111,275,164,741,42.5,24.7,23,2.9,33.7,14.7,
2024,136,281,145,807,41.5,28.8,26,6.6,34.5,18.2,
2025,,,,,,,,,,,
