month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1979-07,0,,,,,,
1979-08,0,,,,,,
1979-09,0,,,,,,
1979-10,8,,,,,,
1979-11,131.6,,,,,,
1979-12,105.4,15.9,20.2,22,27.5,32,34.1
1980-01,229.1,16.2,20.1,21.7,27.4,31.8,35.3
1980-02,131.2,18.4,20.1,21.5,27.3,32.8,35.8
1980-03,170.6,17.4,19.4,21,27.9,31.3,33.7
1980-04,97.1,12.3,18.3,21.7,25.8,30.8,33.9
1980-05,0,7.6,11.7,19.6,26.7,30.5,36.4
1980-06,0,4.8,8.1,15,25,27.7,31.2
1980-07,0,2.3,9.3,15,25.2,28.5,31.5
1980-08,0,7.7,12.3,19,26.6,31,34
1980-09,3,11.8,15.3,21.2,31.8,35.6,38.7
1980-10,57.7,15.8,19.5,23.3,32.7,36,39
1980-11,19.8,13.5,20.6,24.5,29.6,37.2,40.6
1980-12,370.6,13.6,20.2,23.7,27,31.2,37.6
1981-01,127.2,19.3,20.3,21.6,28.4,32,35
1981-02,275.5,19,20.2,21.3,23.2,30.3,33.1
1981-03,95.3,17.7,19.8,21.9,26.4,31.6,33.8
1981-04,48.7,11.8,16.3,20.1,21.7,30.7,33.5
1981-05,0,6.7,11.7,17.3,24,28.9,32
1981-06,0,4.2,8.1,14.6,23.5,28.6,31.8
1981-07,0,,,,25,28.8,31.8
1981-08,0,5.5,11.1,17,27.5,32.7,37.5
1981-09,0,8.5,14.7,20.3,22.2,34.9,38.5
1981-10,4.6,13.3,17.9,23.4,27.5,36.7,40
1981-11,82.9,,,,29.3,38.2,41.4
1981-12,2,16,20.5,24,30.6,35,39.5
1982-01,234.8,19.5,20.7,22,25,30.4,33.5
1982-02,141.9,17.8,20.2,22.2,27,31.1,34.8
1982-03,105.6,17,19.4,22.1,28,32.5,36.5
1982-04,115.1,12.7,18.6,21.3,26.3,31.1,34.2
1982-05,0,6.5,13.6,20,22.2,28.8,33
1982-06,0,1,10.2,14.5,24.8,29.4,32
1982-07,0,5.5,10.5,14.2,22.5,28.8,32.8
1982-08,0,6.6,13.1,19.9,24.3,31.1,34.5
1982-09,0,12.5,15.3,18.5,27,33.9,36.7
