Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1973,122,344,222,1547,27.5,21,22.6,12.7,26.1,15.7,
1974,143,314,171,1554,31,16.4,19.2,12.4,25.5,14.8,
1975,135,311,176,1348,28.7,16.8,20.4,13.7,25.6,15.4,
1976,132,288,156,1094,30.2,17.7,21.6,13.7,26.7,15.9,
1977,129,312,183,1367,28.7,17.8,23.3,14.5,26.2,16.3,
1978,134,324,190,1470,28,17.7,23.2,14.9,25.6,16.4,
1979,140,313,173,1225,28.6,17.5,21.2,14.5,25.8,16,
1980,127,289,162,1278,29.9,17.5,20.2,14.4,26,16.1,
1981,145,327,182,1022,30.5,17.9,20.8,13.1,27.5,15.7,
1982,135,303,168,1312,29.5,16,23.5,12.8,26.4,14.3,
1983,144,294,150,1358,30.9,17.3,22.2,14,26,15.6,
1984,134,305,171,1383,31.2,17.6,21.7,13.7,25.7,16.1,
1985,143,298,155,1249,28.8,17.8,23.5,15.3,26.6,16.5,
1986,118,307,189,1583,28.9,18,22.4,11.7,26.1,16.4,
1987,151,294,143,1419,31.3,19.2,24.2,15,28.4,16.7,
1988,130,308,178,1247,29.4,17.2,22.7,14.6,26.5,16.1,
1989,135,318,183,1125,28.7,17.7,20.6,15,26.3,16.4,
1990,164,306,142,1320,30.8,17.8,24.1,14.2,27.8,16.3,
1991,106,296,190,1247,29.2,17.5,21.8,14.5,26.1,15.9,
1992,140,302,162,1355,30.5,17.9,23.3,13.6,27.1,16.2,
1993,128,305,177,1257,31,17.8,24.3,12.6,28.4,15.6,
1994,155,292,137,1213,,,,,,,
1995,143,300,157,1419,30.9,17.8,22.6,14.5,27.4,16.2,
1996,163,307,144,1235,32.2,18.3,22.4,14.1,27.4,16,
1997,102,295,193,1315,,,,,,,
1998,145,307,162,1106,,,,,,,
1999,,296,,,,,,,,,
2000,126,303,177,1105,,,,,,,
2001,110,297,187,1204,30,17.7,24.7,15.4,27.4,16.7,
2002,127,306,179,1344,30,17.4,21.3,14.6,27,16.3,
2003,158,305,147,1353,28.7,17.7,20.6,15,26.3,16.4,
2004,139,306,167,1639,29.1,17.7,23,15.7,26.6,16.7,
2005,,288,,848,29,17.5,21.8,14.5,26.1,15.9,
2006,136,295,159,959,30.1,18.6,24.5,15.2,27.1,16.9,
2007,159,264,105,952,32.2,17.9,22.3,14.4,27.6,16.2,
2008,,245,,133,31,17.8,24.3,12.6,28.4,15.6,
2009,129,286,157,1197,31.7,17.8,20.3,15.1,28.3,16.6,
2010,,245,,57,32.2,18.3,22.4,14.1,27.4,16,
2011,,,,570,31.3,21,26.8,16.1,28.8,18.1,
2012,,245,,,30.9,17.1,21.9,11.4,28.3,14.8,
2013,,245,,,32.1,17,27.4,13,29.6,14.9,
2014,,312,,1061,31,20.3,23.4,13.2,28.1,16.9,
2015,,245,,27,31.1,19.2,22.2,15,27.5,17.5,
2016,,245,,,31.6,18.8,20.9,10.4,27.3,16.7,
2017,145,315,170,1161,30.2,18.7,24.3,9.7,27.2,16.8,
2018,141,300,159,1306,30.5,18,23.5,13.5,27.3,15.7,
2019,139,298,159,1928,29,15.2,23.9,11.6,26.9,13.8,
2020,135,296,161,1394,30.5,13.4,23.4,10.2,27.3,11.9,
2021,147,297,150,1125,34.2,18.1,27.4,11.2,31,14.8,
2022,,,,,29.7,16.5,22,13.6,26.2,15.2,
2023,,,,,31.6,16.2,22,14.3,28.5,15.4,
2024,,,,,32,16.3,27.4,12.5,29.4,14.5,
2025,,,,,31.1,18,27,12.5,29,14.5,
