Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,,,,,,,,,,
1978,,,,,,,,,,,
1979,,,,,,,,,,,
1980,,,,,,,,,,,
1981,,,,,,,,,,,
1982,,,,,,,,,,,
1983,,,,,,,,,,,
1984,,,,,,,,,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,,,,,,,,,,,
1990,,,,,,,,,,,
1991,,,,,,,,,,,
1992,,307,,986,,,,,,,
1993,154,302,148,993,35,19.5,19.5,1.6,28,13.4,
1994,148,286,138,871,37.2,19.5,17.2,2.6,28.4,13.2,
1995,142,281,139,1198,35.9,23.2,14.5,3.9,28,14.5,
1996,154,296,142,1341,38,20.5,18.5,2.7,28.6,13.5,
1997,,282,,,35.6,,13.9,,28.1,,
1998,137,,,,,,,,,,
1999,,,,,,,,,,,
2000,,,,,,,,,,,
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,,,,,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,296,,,,,,,,,
2009,134,301,167,986,37.5,20.5,15.5,3.7,28,14.8,
2010,148,299,151,878,38.7,22.3,16.6,2.2,28.5,14.4,
2011,139,297,158,989,37,20.1,17.9,2.2,28.4,13.8,
2012,160,269,109,973,36.3,22.2,19.3,1,28.8,14.5,
2013,164,,,,37,21,18.1,2.5,28.8,14.5,
2014,140,305,136,1028,37,22,20,1.5,28.6,14.7,
2015,166,280,114,805,36.5,21.5,19.5,3.5,29,14.2,
2016,139,278,139,1025,,,,,,,
2017,134,287,153,,,,,,,,
2018,146,264,118,873,36.5,20.6,15.5,0.3,28.5,13.7,
2019,139,285,146,929,36.5,,18.5,,28.8,,
2020,,,,29,,,,,,,
2021,,,,,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
