Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1934,,233,,206,,,,,,,
1935,143,295,152,1048,,,,,,,
1936,136,293,157,1204,,,,,,,
1937,,277,,1164,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,265,,763,,,,,,,
1946,137,234,97,695,,,,,,,
1947,122,309,187,1113,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,230,,712,,,,,,,
1951,114,265,151,1192,,,,,,,
1952,147,,,,,,,,,,
1953,137,284,147,844,,,,,,,
1954,,285,,,,,,,,,
1955,142,315,173,990,32.2,19.4,24.9,15.8,28.7,18.1,
1956,152,286,134,1118,33.6,20.6,22.2,15.7,28.6,17.9,
1957,119,278,159,1352,33.4,20.3,21.7,15.7,28.6,18.5,
1958,120,286,166,1155,31.3,20.1,24,16.7,28.6,18.8,
1959,124,278,154,908,33.9,20.6,23.5,17,28.4,18.7,
1960,147,306,159,1056,35.4,20.3,25,15.9,30.8,18.1,
1961,122,271,149,1042,33.4,20,23.3,15.6,29.1,17.9,
1962,131,280,149,1029,29.9,19.8,22.4,16.6,26.5,18.6,
1963,95,240,145,846,33,19.6,22.9,15.8,29,18.1,
1964,124,230,106,648,31.4,19.4,21.9,16.1,28.5,17.8,
1965,138,290,152,1062,35.7,19.5,26.1,15.7,30.8,17.9,
1966,126,254,128,729,36.7,22.2,24.7,16.4,30.9,18.4,
1967,121,269,148,1078,32.1,19.6,25.7,15.7,28.8,17.9,
1968,135,301,166,1151,32.4,20.3,22.7,16,28.5,18.3,
1969,110,275,165,804,30.8,20.6,23.1,17.1,27.8,18.6,
1970,107,,,,33.9,19.7,21.7,14.4,30.2,17.9,
1971,172,238,66,921,35.7,20.5,23.2,15.9,30.6,18,
1972,161,276,115,576,35.9,20.1,24.9,15.4,31.3,18.2,
1973,108,287,179,1140,32.4,20.5,20.7,17.5,28.1,18.7,
1974,143,299,156,1080,32,20,23.5,17.2,27.9,18.5,
1975,159,301,142,1078,33.6,20.8,23.9,15.2,29.3,18.6,
1976,110,238,128,741,32.7,20.6,22.9,15.3,29,18.4,
1977,142,314,172,1291,30.5,20.6,24.9,17.9,28.1,19.1,
1978,106,248,142,857,32.5,20.4,21.7,17.4,28.3,19,
1979,135,292,157,886,31.7,20.5,21.4,17.2,27.1,19,
1980,128,293,165,1153,33.7,20.7,22.4,17.3,29.1,19,
1981,144,259,115,547,35.3,21.8,26.7,17.2,31.5,19,
1982,137,273,136,820,33.5,20.9,26.4,16.9,30.5,19.2,
1983,116,231,115,640,32,20.2,23.9,17.5,28.6,18.9,
1984,132,266,134,825,32.5,22.5,21.8,16.3,29,18.7,
1985,153,293,140,880,33,21.4,13.8,13.8,29,18.8,
1986,108,279,171,763,34.7,21.2,21.4,16.2,30.6,18.8,
1987,156,305,149,910,32.8,21.5,23.4,17.2,29.1,19.8,
1988,158,305,147,1045,32.7,20.2,25.6,16.9,29.7,18.5,
1989,154,259,105,912,35.4,21.2,24.5,17.3,31.4,19,
1990,136,262,126,886,33,21.4,23.9,16.8,29.7,18.8,
1991,139,249,110,699,33.4,20.2,24.5,16.7,29.3,18.5,
1992,118,310,192,1235,36.7,20.6,23,15,30.8,18.6,
1993,129,264,135,720,33.7,21,25,14.4,30.1,19.1,
1994,153,262,109,639,37.2,21.5,23.9,15.5,31.9,19.1,
1995,150,274,124,763,34.3,21.5,23.1,15.6,30.7,18.9,
1996,142,285,143,826,34,20.7,26.5,17.5,30.6,19.4,
1997,128,286,158,915,35.4,21,25.8,17,32.1,18.6,
1998,139,293,154,1112,31.7,,21.6,,28.4,,
1999,148,294,146,983,34.4,20.5,25.9,17.5,30.4,19.2,
2000,149,281,132,1024,32.2,21,23.5,17.6,28.4,19.2,
2001,131,267,136,998,35.3,21.6,25.5,17.9,31.1,19.6,
2002,147,270,123,860,36,22.6,25.2,17.1,30.2,19.4,
2003,164,294,130,1072,34.1,20.5,24.1,17.1,29.8,19.3,
2004,147,249,102,483,34.7,21.2,26,17.3,31,19.4,
2005,135,284,149,878,33.6,20.8,23.8,17.9,30.1,19.7,
2006,161,269,108,1016,36.7,21.5,25,16.8,30.8,19.6,
2007,118,281,163,1121,38,22,21.6,16.7,29.3,19.3,
2008,127,286,159,1196,33.3,20.5,24,17.5,29.1,18.9,
2009,128,307,179,1361,33,21.7,25.8,18,30.2,19.8,
2010,128,295,167,971,33.5,21.3,23.5,17.6,29.3,19.5,
2011,140,285,145,971,33,21.2,25,17.3,30,19.4,
2012,149,268,119,931,38,21.3,24,17.7,29.2,19.6,
2013,115,290,175,978,34,21.3,23,17.4,29,19.3,
2014,96,258,162,815,36.2,21.8,25.7,17.2,30.7,19.4,
2015,142,280,138,1449,36.5,21.2,27,17.3,32.3,19.5,
2016,142,278,136,1282,35.5,22,24.5,17.9,30.7,19.5,
2017,148,291,143,958,,22,,17.7,,19.6,
2018,181,242,61,558,36.5,22.5,22.8,18,30.4,19.7,
2019,149,289,140,764,35.1,22.6,27.9,18,32.7,20.2,
2020,129,292,163,1046,32.4,21.8,23.9,18.6,29.4,19.6,
2021,121,,,,36.9,21.9,26,17.3,31.9,19.4,
2022,,,,,35.7,21.2,26.5,16.8,31.4,18.9,
2023,,,,182,37.4,22.3,24.7,17.9,32.7,20.5,
