Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1929,,,,,,,,,,,
1930,,,,,,,,,,,
1931,,276,,,,,,,,,
1932,,282,,759,30.9,18.9,18.8,13.9,26.5,16,
1933,154,287,133,1253,31.2,17.3,19.4,8.2,24.5,15.3,
1934,140,261,121,928,28,18.7,15.6,13.9,23,16,
1935,147,298,151,1093,31.1,18.2,21.4,14.4,26.8,16.5,
1936,147,276,129,1282,27.8,17.8,17.8,14,24.6,16.1,
1937,143,,,,30.6,17.2,22.8,15,26.4,16.2,
1938,,,,,29.4,18.3,23.3,15,26.7,16.4,
1939,,,,,28.3,18.9,20,14.4,26,16.4,
1940,,,,,30.6,18.3,25,13.9,27.7,16.1,
1941,,,,,30,18.6,20.6,15.1,25,16.8,
1942,,,,,28.3,16.7,22.2,13.9,26.2,16,
1943,,292,,,29.6,18.3,21.7,14.3,26.4,16.3,
1944,,,,,28.6,17.9,20.2,15.4,25.3,16.6,
1945,,,,,29,17.4,21.2,13.7,26.2,15.9,
1946,,272,,,28.1,17.8,21.4,14.3,26,16.4,
1947,,306,,,28.6,17.7,20.6,14.8,25.5,16.3,
1948,,266,,642,31,17.8,20.8,11.6,26.8,15.7,
1949,,304,,,30.6,18.3,22.5,14.7,27,16.5,
1950,131,275,144,918,29.4,17.1,21.3,12.8,26,15.4,
1951,149,292,143,1486,28.3,17.6,20.2,14.1,25.2,16.2,
1952,129,291,162,987,30.6,18.7,20.7,14.7,27.1,16.5,
1953,151,272,121,918,29,17.9,20.7,14.8,25.6,16.6,
1954,145,277,132,1304,28,18.3,21.7,14.2,25.8,16.3,
1955,155,307,152,1228,29.4,17.2,19.7,13.3,25.5,16.1,
1956,126,288,162,1066,27.7,17.6,15.8,14.7,24.9,15.8,
1957,155,283,128,1046,30.7,18.7,20.7,15.6,25.7,17.1,
1958,133,283,150,848,29.9,18.4,21.3,14.5,26,16.8,
1959,145,289,144,1065,29.6,17.7,20.1,14.2,25.9,16.1,
1960,149,287,138,878,32.6,19.4,22.7,15.1,27,17.1,
1961,131,296,165,1262,28.2,17.8,21.1,14.4,24.1,16.1,
1962,130,295,165,1164,27.7,17.9,20.9,15.3,24.6,16.6,
1963,128,290,162,1301,27.5,17.3,20,13.5,24.7,15.9,
1964,161,285,124,880,29.7,17.9,20.9,14.4,25.6,15.9,
1965,149,276,127,926,28.8,17.2,21.6,14.8,25.8,16,
1966,164,255,91,695,31.4,16.8,21.1,12.8,26,15.6,
1967,144,278,134,1050,29.4,17.3,19.9,12.6,24.9,15.2,
1968,148,292,144,951,28.7,17.8,20.8,15.4,25.5,16.5,
1969,165,269,104,769,30.3,18.4,23.7,14.5,26.9,16.6,
1970,126,266,140,1036,27.3,17.2,20.6,14.4,24.9,15.9,
1971,136,273,137,788,,,,,,,
1972,131,290,159,1017,,,,,,,
1973,154,301,147,1118,,,,,,,
1974,144,293,149,994,,,,,,,
1975,152,296,144,987,,,,,,,
1976,137,274,137,931,,,,,,,
1977,150,297,147,1236,,,,,,,
1978,160,310,150,1359,,,,,,,
1979,138,279,141,979,,,,,,,
1980,154,284,130,869,31.7,18.1,20.9,15.1,25.6,16.5,
1981,147,290,143,999,31.8,18.2,22,14.7,27.9,16.5,
1982,134,262,128,910,29.5,17.9,23.5,13.8,26.8,16.6,
1983,146,273,127,978,30.1,18,19.3,14.5,25.8,16.3,
1984,130,301,171,1311,31,17.1,21.1,14.9,25.6,16.5,
1985,130,294,164,1269,29,17.9,22,15.3,26.2,16.6,
1986,105,289,184,984,31.2,18,21,15.2,26.2,16.7,
1987,151,290,139,1244,32.4,20,25.6,15.5,28.7,17.2,
1988,153,304,151,1330,29.4,18.3,20.5,14.5,26.1,15.4,
1989,153,263,110,820,30.5,17.8,22,14.5,26.7,16,
1990,148,262,114,626,30.6,16.8,24.6,13.6,27.9,15,
1991,145,245,100,762,30.2,17.4,20,15,26.5,16.1,
1992,164,300,136,979,31.5,18.4,21.4,14,27.4,16.1,
1993,129,271,142,778,31.8,19,26,14.1,29.2,16.6,
1994,178,279,101,725,33,18.8,25,12.9,28.9,16.9,
1995,143,298,155,813,32.5,19.4,23.5,15.7,27.9,16.9,
1996,161,266,105,869,33.4,18.3,21,15.3,27.6,16.9,
1997,138,276,138,1349,29,17.5,21.6,15.5,25.9,16.7,
1998,149,303,154,918,32,18,21.9,13.8,28.3,16.3,
1999,167,289,122,1005,32.4,20.4,21.2,13.4,28.4,16.5,
2000,149,292,143,1268,29.5,18.1,21.2,15.7,26.6,16.6,
2001,141,266,125,786,30.5,19.5,24.5,15.5,28.2,17,
2002,129,299,170,959,32.5,18.7,23,15.2,27.4,16.9,
2003,151,277,126,706,31.6,17.8,23.5,14.8,27.2,16.6,
2004,133,257,124,1057,28.2,17.8,21.5,14.5,26,16.5,
2005,150,297,147,1074,32.2,18.5,23,14.5,27.7,16.8,
2006,165,277,112,1275,31.1,18.6,21.5,15,26.5,17.1,
2007,160,278,118,988,31,18.9,21.6,15.1,26.5,16.5,
2008,136,,,,29.9,17.6,23.2,15,26.5,16.3,
2009,128,281,153,766,29.2,18.2,21.5,14.9,26.6,16.7,
2010,144,293,149,909,29.6,18.7,21.1,13.6,26.3,15.3,
2011,147,297,150,963,31.9,17.4,24,13.4,27.6,15.5,
2012,124,282,158,900,32,17.9,22.5,12.6,27.5,15.5,
2013,164,298,134,904,32.5,19.3,23.8,14.8,28.1,17.3,
2014,144,312,168,1352,32,19,20.6,14.6,28.6,17.1,
2015,125,294,169,1552,,,,,,,
2016,,279,,,,,,,,,
2017,162,295,133,912,30.4,18.6,23.6,15.3,27.1,16.7,
2018,142,281,139,1026,31.6,18.5,23,14.7,27.2,16.8,
2019,160,267,107,817,29.4,19.3,22,14.8,26.9,17.5,
2020,157,287,130,1145,30.8,19.1,23.5,16.1,27.2,17.3,
2021,,300,,1178,34.6,19.2,24.3,13,31.5,16.9,
2022,,299,,1103,31,,24.7,,27.4,,
2023,164,269,105,960,32.9,,24.6,,29.4,,
2024,149,266,117,762,32.6,19,23.2,14.6,29.4,17,
2025,,,,,29.5,19.3,22.4,14.1,26.7,17.2,
