month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1982-01,282.5,,,,,,
1982-02,221.8,,,,,,
1982-03,52.7,,,,,,
1982-04,83.8,,,,,,
1982-05,19.5,,,,,,
1982-06,0,,,,,,
1982-07,0,,,,,,
1982-08,1.1,,,,,,
1982-09,0,,,,,,
1982-10,22.1,11.8,16.6,21.5,18.4,29.7,32.7
1982-11,184.3,15.4,17.9,20.2,24,29.1,33.7
1982-12,199.2,,,,26.2,29.6,32.3
1983-01,305,,,,,,
1983-02,115.4,,,,,,
1983-03,93.5,,,,24.6,29.2,32.6
1983-04,84.4,,,,22.4,29.1,32
1983-05,0,4.8,11.9,16.7,22.6,28.5,31.4
1983-06,0.5,5.8,9.8,15.4,23.7,26.4,28.4
1983-07,1.3,,,,21.9,25.4,27.8
1983-08,0,5.1,9.8,16.1,22.5,26.1,31.4
1983-09,0,10.5,15.4,20,24.1,29.6,34
1983-10,5.6,13.3,16.8,20.3,26.1,31.5,35.5
1983-11,24.3,15.6,18.1,20.7,25,31.2,34.9
1983-12,372.7,16.2,18,19.8,24,27.2,30.4
1984-01,153.7,11.5,16.7,18.7,23.7,29.1,32
1984-02,153.7,12,16.8,19.6,22.6,27.5,31.8
1984-03,148.7,12.6,16.6,18.6,21,27.3,31
1984-04,12.2,12,15.8,17.6,23.4,27.6,29.9
1984-05,2.3,11,14.2,17,19.7,27.9,31.1
1984-06,0.4,8,11.9,15.1,20.1,25,28.7
1984-07,0,7.5,11.8,15.9,22.4,25.5,27.5
1984-08,0,9,12.3,15.9,23.7,27.2,30.4
1984-09,0,11.5,16.7,21.5,29.1,32.2,35.6
1984-10,1.7,15.9,20,23,29.8,33.3,36.1
1984-11,114,15.1,19,22,24.7,30,35.6
1984-12,270.4,16.9,18.6,21.5,22.2,27.6,33.4
1985-01,290.6,16,18.2,20,24,27.8,31
1985-02,191.8,14,17.4,19.2,22.6,26.5,30.2
1985-03,122.3,15.9,17.9,19.5,24,27.9,30.9
1985-04,48.2,12.6,15.3,18.4,21.2,26.7,29.7
1985-05,0,10.9,13.2,16.4,18.6,26.1,30.6
1985-06,0,7.4,10.5,14.4,21.6,24.9,28.9
1985-07,0,7.6,10.5,16.1,20.2,25.4,30
1985-08,0,8.9,12.8,15.8,21.2,26.6,28.6
1985-09,1.9,14,17.5,20.9,26.4,30.4,33.5
1985-10,22.9,16.1,19.3,23.2,26.6,31.1,33.2
