Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,291,,,,,,,,,
1961,130,293,163,734,,,,,,,
1962,135,277,142,886,36.4,22.3,17.9,3,26.1,14.5,
1963,127,263,108,569,35.1,21.4,19,0.4,26.9,14.4,
1964,127,261,134,822,35.8,22.6,16,2.4,26.3,13.9,
1965,157,289,132,784,35.2,22.3,18.4,4.4,26.5,14.6,
1966,164,313,149,668,36.1,22.7,19,3.7,27,15.2,
1967,154,298,144,733,36.2,23.3,18.3,0,26.8,14.8,
1968,138,289,151,887,37.2,23.1,15.8,0.8,26.8,15.2,
1969,158,,,609,35.1,22.3,19,5.6,27,14.9,
1970,134,291,157,827,35.7,22.2,17.8,1.7,27,14.8,
1971,139,259,120,736,34.2,22,16.8,0.7,27,14.2,
1972,149,285,75,540,37.2,21.9,17,1.4,27.6,14.8,
1973,175,284,109,976,35.3,22.9,14.7,0,26.1,14.4,
1974,138,275,137,757,36,22.7,18.3,3.3,26.7,14.5,
1975,152,306,154,984,35,23.5,16.4,0.4,26.1,14.1,
1976,137,279,142,875,35.8,20.8,17.9,0.7,27,13.9,
1977,148,311,163,1197,35.6,22.8,16.6,1.1,26.8,15,
1978,128,275,120,877,35.7,22.4,16.4,0,27.1,14.1,
1979,133,288,155,868,35.4,21.9,17.3,0.2,27,14.2,
1980,141,310,169,1114,39.7,20.2,16.8,-1,26.8,14,
1981,133,271,138,743,37.5,21.3,16.8,2.3,27.5,14.3,
1982,145,311,143,759,35.6,21.3,16.2,0.2,28.1,14.9,
1983,161,278,117,627,34.9,21.7,16.2,3.2,27.8,14.7,
1984,127,280,153,723,36,22.2,17.6,2.1,27.2,14.7,
1985,126,318,161,1281,35.4,21.5,17.3,0.7,26.7,14.3,
1986,132,278,126,759,36.5,21.9,15.2,0.3,28.4,14.3,
1987,131,285,131,747,37.9,23.4,17.3,2.9,28.7,15.1,
1988,156,292,136,1287,35.6,22.3,17.4,1.6,27.6,14.3,
1989,152,316,164,799,38.4,22.3,17.8,4.6,28.1,14.8,
1990,145,283,115,803,38.7,22.6,20.3,1.1,28.1,14.2,
1991,137,288,151,625,35.7,23,19.3,3,28.7,14.3,
1992,137,280,143,738,36.4,23.8,18.6,1.9,28.1,14.4,
1993,134,300,150,666,36.5,21.6,19,-0.1,28.1,14.4,
1994,152,283,131,581,,,,,,,
1995,144,273,129,823,37.6,22.6,15,3.1,27.8,15.4,
1996,142,295,153,1016,36.3,23.2,17.6,1.9,28.1,15.6,
1997,139,265,126,676,39,22.6,16.2,2.3,28.4,15.8,
1998,149,272,123,880,37.4,23.9,18.7,4.4,27.9,15.6,
1999,163,294,131,816,36.5,23.7,19.2,4.2,27.3,15.4,
2000,127,286,135,1010,35.8,22.1,17.7,1,27.2,15,
2001,142,303,149,611,36.9,22.3,18.8,2.7,28.5,15.1,
2002,127,294,131,986,,,,,,,
2003,139,293,154,1046,38,22.1,16,2.7,28.2,14.7,
2004,142,275,133,640,36.9,23,19,1.4,29,15.1,
2005,154,284,,,,,,,,,
2006,141,,,,36.8,,20,,29,,
2007,128,269,141,,,,,,,,
2008,,,,,37,,17.5,,27.2,,
2009,130,297,167,1126,36,,16,,27.6,,
2010,144,285,141,724,39.5,,18.6,,28,,
2011,139,285,119,725,37.2,,19,,28,,
2012,146,280,134,899,39,,20,,28.7,,
2013,165,303,,,,,,,,,
2014,,298,,,,,,,,,
2015,,,,,,,,,,,
2016,,294,,,,,,,,,
2017,138,285,147,,,,,,,,
2018,152,314,,,38.4,22,20.4,4.9,30.4,15.8,
2019,124,,,,,,,,,,
2020,,,,,,,,,,,
2021,,300,,,39.5,23.8,20.5,1.2,29.8,14.9,
2022,,,,,,,,,,,
2023,144,,,,,,,,,,
