Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1977,,314,,,,,,,,,
1978,162,258,96,628,,,,,,,
1979,139,262,123,715,,,,,,,
1980,147,295,148,951,,,,,,,
1981,145,294,149,749,,,,,,,
1982,144,304,160,765,,,,,,,
1983,145,295,150,713,,,,,,,
1984,148,286,138,826,,,,,,,
1985,153,318,165,988,,,,,,,
1986,151,320,169,662,,,,,,,
1987,158,285,127,1012,,,,,,,
1988,173,290,117,1274,,,,,,,
1989,155,305,150,940,,,,,,,
1990,144,280,136,660,,,,,,,
1991,165,242,77,376,,,,,,,
1992,164,279,115,978,,,,,,,
1993,164,257,93,572,,,,,,,
1994,196,275,79,342,,,,,,,
1995,143,335,192,624,,,,,,,
1996,140,299,159,1230,,,,,,,
1997,171,255,84,471,,,,,,,
1998,149,274,125,884,,,,,,,
1999,148,290,142,942,,,,,,,
2000,151,288,137,1054,,,,,,,
2001,156,300,144,557,,,,,,,
2002,163,284,121,496,,,,,,,
2003,,275,,509,,,,,,,
2004,162,,,252,,,,,,,
2005,147,278,131,834,,,,,,,
2006,170,287,117,1123,,,,,,,
2007,155,,,1082,,,,,,,
2008,,,,,,,,,,,
2009,140,296,156,,,,,,,,
2010,145,,,,,,,,,,
2011,163,256,93,1407,,,,,,,
2012,,,,957,,,,,,,
2013,,306,,,,,,,,,
2014,152,,,,,,,,,,
2015,,,,,,,,,,,
2016,,,,1120,,,,,,,
2017,,323,,,,,,,,,
2018,158,292,134,445,,,,,,,
2019,,,,,,,,,,,
2020,,,,,,,,,,,
2021,,,,,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
