Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,306,,828,,,,,,,
1950,114,317,203,1353,28.4,17.8,23.9,13.3,26.3,16.5,
1951,109,287,178,1446,28.3,17.8,21.2,14.2,24.7,16.7,
1952,122,308,186,1229,29.9,17.3,23.8,14.4,28,16.2,
1953,109,290,181,1193,27.8,18,23.6,14.3,25.9,16.5,
1954,104,294,190,1135,28.9,17.8,21.8,14.9,25.7,16.6,
1955,107,323,216,1654,28.8,17.7,21.3,14.1,25.8,16.1,
1956,123,296,173,1251,29.6,17.7,19.8,13.8,26.2,16.1,
1957,95,306,211,1281,28.9,17.6,21.6,15.5,25.9,16.5,
1958,104,298,194,1526,28.8,18.1,18.3,14.4,25.7,16.6,
1959,121,297,176,1266,29,17.7,22.7,14.3,25.6,16.4,
1960,110,311,201,1730,30.6,17.2,22.8,14.1,26.9,15.7,
1961,115,309,194,1428,29.8,17.2,19.6,14.8,24.9,16,
1962,102,301,199,1363,28.6,17.4,21.3,16,25.6,16.5,
1963,103,291,188,1348,29.4,17.4,21.6,12.7,26.1,16,
1964,102,300,198,1349,28.8,16.8,20.1,13.4,25.2,15.3,
1965,94,313,219,1520,30.1,18.2,20.7,13.9,26.7,16,
1966,131,315,184,1375,31.7,17.3,22.3,13.2,27,15.8,
1967,118,302,184,1521,29.8,17.4,18.5,13.6,24.8,15.9,
1968,127,302,175,1715,28.9,17.8,19.9,14.8,25.5,16.5,
1969,94,282,188,1385,29.1,17.9,23,14.7,25.6,16.5,
1970,107,313,206,1721,28.3,17.8,20.4,14.2,24.8,15.9,
1971,117,320,203,1056,29.4,16.2,21.7,12.3,26,14.8,
1972,152,298,146,1269,30.4,17.4,24.4,13.9,27.5,15.6,
1973,121,304,183,1164,28.2,17.1,19.7,13.9,25.5,15.7,
1974,125,295,170,1376,28.8,17.4,22.4,15.1,25.5,16.1,
1975,121,332,211,1539,29.2,17.1,21.9,14.5,25.9,16,
1976,120,310,190,1262,30.3,17.3,22,14.8,26.8,16.1,
1977,114,318,204,1172,28.4,18.3,20.7,15.3,25.6,16.7,
1978,101,297,196,1530,28.4,18,19.8,14.4,25.1,16.5,
1979,110,311,201,1664,29,17.8,21.8,13.8,26,16.2,
1980,112,300,188,1234,29.5,17.9,21.3,14.3,26.8,16,
1981,99,320,221,1278,31.1,17.7,23.3,12.7,27.2,16,
1982,104,306,202,1624,29.9,18.8,21.3,13.9,27,16.3,
1983,122,303,181,1211,30.5,17.8,22.7,7.3,25.9,16.1,
1984,131,304,173,1382,28.3,17,21.4,14.6,25.8,16.2,
1985,112,312,200,1476,29.4,18,22.8,14.8,26.8,16.5,
1986,101,295,194,1535,30.3,17.9,21.4,15,26.5,16.7,
1987,95,307,212,1007,31,18.5,20.5,16,27.6,17.3,
1988,110,307,197,1170,29.6,17.5,19,14.2,26.9,16.3,
1989,96,323,227,1289,30.7,18.1,21.6,13.9,26.7,16.6,
1990,94,299,205,1367,30.5,18.5,23,14,27.3,16.4,
1991,124,260,136,1095,,,,,,,
1992,106,304,198,1353,30.5,18,24,13.5,27.3,16.3,
1993,129,282,153,1168,,18.5,,15,,16.8,
1994,122,297,175,1238,31,18.1,23.7,13.5,27.5,16.8,
1995,135,295,160,1301,,,,,,,
1996,129,,,,,17.5,,9.5,,16.4,
1997,,303,,,,,,,,,
1998,136,308,172,1334,,18.5,,15.5,,16.8,
1999,,307,,,,,,,,,
2000,126,297,171,1240,,18.1,,15,,16.9,
2001,110,,,,,,,,,,
2002,117,,,,,,,,,,
2003,,260,,1006,28.5,18.5,23.5,16.5,26.5,17.5,
2004,103,250,147,,30,18.5,23.3,16.5,26.5,17.3,
2005,133,302,169,1315,30.5,18.5,24,15.5,27.4,17.2,
2006,93,309,216,1768,,,,,,,
2007,121,293,172,1083,30,17.2,23,14.5,26.9,15.8,
2008,123,300,177,1403,30,17.5,24,14.5,27.1,16.2,
2009,108,311,203,1398,30,,25,,27.1,,
2010,125,305,180,1301,30.8,,20,,26.8,,
2011,118,297,179,1115,30.2,,22.5,,27,,
2012,,296,,,,,,,,,
2013,113,320,207,1699,30,,22.5,,27,,
2014,,,,,,,,,,,
2015,124,303,179,1319,32.5,,24.5,,27.7,,
2016,,,,,,,,,,,
2017,,,,,,,,,,,
2018,126,,,,,,,,,,
2019,103,312,209,1721,31,,24.5,,27.6,,
2020,,,,,,,,,,,
2021,,,,,,,,,,,
2022,,,,30,35,16.3,29,8.9,31.8,12.4,
