Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1941,,287,,731,,,,,,,
1942,107,291,184,1075,,,,,,,
1943,129,293,164,1290,,,,,,,
1944,129,299,170,1209,,,,,,,
1945,139,297,158,1031,,,,,,,
1946,140,297,157,1247,,,,,,,
1947,155,301,146,1565,,,,,,,
1948,136,289,153,768,,,,,,,
1949,149,299,150,1353,,,,,25.3,12.6,
1950,132,284,152,987,,,,,27,12,
1951,116,272,156,1443,,,,,26.8,12.7,
1952,130,291,161,907,,,,,27.3,13,
1953,144,276,132,1222,,,,,27.3,12.7,
1954,133,283,150,1232,,,,,26.8,13.2,
1955,140,312,172,1620,,,,,26.7,13.3,
1956,136,280,144,1096,,,,,26.6,12.9,
1957,154,280,126,912,,,,,28.1,13.8,
1958,131,274,143,857,,,,,27.7,13.5,
1959,141,288,147,1087,,,,,27.5,13.7,
1960,132,309,177,1242,,,,,27.3,13.9,
1961,121,309,188,1744,,,,,26.4,13.3,
1962,133,284,151,1128,,,,,26.6,13.2,
1963,109,273,164,1136,,,,,27.1,13.1,
1964,129,278,149,1086,,,,,26.5,12.6,
1965,127,278,151,1207,,,,,27.2,13.5,
1966,143,301,158,1222,,,,,27.7,14.1,
1967,123,278,155,1007,,,,,26.9,13.2,
1968,136,297,161,1507,,,,,27.3,14.1,
1969,121,273,152,1132,,,,,27.6,13.9,
1970,119,278,159,1443,,,,,27.1,13.9,
1971,129,298,169,1328,,,,,27.1,13.9,
1972,159,245,86,439,,,,,27.9,14.2,
1973,148,300,152,1406,,,,,27,13.7,
1974,142,295,153,1247,,,,,27.4,13.8,
1975,152,310,158,1181,,,,,26.9,13.6,
1976,130,296,166,1352,,,,,27.6,13.5,
1977,135,290,155,1622,,,,,27.6,14.3,
1978,118,301,183,1364,,,,,27.6,14,
1979,148,307,159,1087,,,,,27.9,13.7,
1980,112,278,166,1376,,,,,26.8,13.8,
1981,142,274,132,914,,,,,28.4,13.8,
1982,142,293,151,1079,,,,,28.4,14.4,
1983,144,287,143,1261,,,,,28.2,14.2,
1984,130,302,172,1499,,,,,27.7,13.9,
1985,153,291,138,1255,,,,,27.5,14.1,
1986,109,288,179,914,,,,,28.3,13.8,
1987,148,286,138,986,,,,,29,14.6,
1988,103,299,196,1372,,,,,28.1,14.1,
1989,135,263,128,1077,,,,,28.8,14.2,
1990,93,292,199,2382,,,,,28,13.7,
1991,136,255,119,705,,,,,28.6,13.9,
1992,118,298,180,1342,,,,,28.2,13.8,
1993,130,282,152,1188,,,,,28.2,14,
1994,162,286,124,902,,,,,28.4,14.1,
1995,137,291,154,1287,,,,,28.2,14.5,
1996,157,292,135,984,,,,,27.5,13.3,
1997,126,284,158,1128,,,,,28.6,14.8,
1998,154,285,131,1056,,,,,28.6,14.4,
1999,142,286,144,775,,,,,28.5,14.4,
2000,130,295,165,1459,,,,,28.3,14.9,
2001,137,271,134,1050,,,,,29,14.2,
2002,162,295,133,1086,,,,,29.1,14.3,
2003,112,285,173,1078,,,,,29.1,14.2,
2004,132,268,136,1033,,,,,29.2,14.4,
2005,128,286,158,1309,,,,,29,14.3,
2006,158,276,118,1412,,,,,28.9,14.4,
2007,131,278,147,1370,,,,,28.1,13.5,
2008,130,291,161,1284,,,,,29.3,15.3,
2009,143,304,161,1471,,,,,28.7,14.7,
2010,156,294,138,994,,,,,28.7,14.3,
2011,131,296,165,1298,,,,,28.4,13.8,
2012,146,280,134,936,,,,,29,14.7,
2013,,290,,1250,,,,,29.1,15.4,
2014,142,313,171,1301,,,,,28.8,14,
2015,151,291,140,1080,,,,,28.9,14.8,
2016,140,284,144,1263,,,,,28.3,14.2,
2017,134,297,163,1247,,,,,28.4,14.7,
2018,147,281,134,1105,,,,,28.7,14.7,
2019,145,294,149,1042,,,,,28.8,15.2,
2020,141,289,148,1207,,,,,27,13.9,
2021,126,303,177,1289,,,,,27.3,15.7,
2022,,,,,,,,,24.8,10.6,
2023,,,,,,,,,,,
2024,,,,,,,,,,,
