Year,Start,End,Length,Rainfall,sum_Rainday,mean_tmin,mean_tmax,Extreme_events,Dry spells 7 day
1949,,296,,,,,,4,0
1950,158,275,117,791.4,73,15.80219178,27.95287671,5,0
1951,148,268,120,1123.4,89,16.0636612,27.65819672,2,0
1952,151,295,144,1162.4,82,16.04739726,28.12712329,8,0
1953,144,267,123,731,71,16.01671233,28.19424658,2,1
1954,131,280,149,1075.1,94,16.1539726,27.20630137,3,0
1955,151,306,155,944.4,99,16.39371585,27.02322404,5,1
1956,133,283,150,817.4,111,15.90438356,26.95452055,3,0
1957,161,272,111,1070.5,82,16.84986301,28.33150685,7,0
1958,131,274,143,1000.8,81,16.54657534,28.01232877,4,1
1959,125,282,157,559.3,69,16.37431694,27.5147541,3,2
1960,131,297,166,1132.2,100,16.97726027,27.99452055,8,0
1961,132,314,182,1268.4,100,16.14246575,27.01835616,4,0
1962,133,281,148,908.9,96,15.89123288,27.20109589,5,0
1963,138,271,133,817.5,66,16.16284153,27.95163934,4,1
1964,145,281,136,814.2,85,15.5630137,27.16328767,3,0
1965,128,277,149,713.8,84,16.26270718,27.73214286,2,1
1966,163,300,137,930.7,97,17.04171271,28.3320442,5,0
1967,159,303,144,332.1,78,16.21643836,27.5273224,1,0
1968,125,289,164,1023.5,113,16.76054795,27.98269231,1,0
1969,124,246,122,706.3,77,16.41917808,28.25643836,5,1
1970,129,280,151,1162,96,16.42328767,27.94547945,7,0
1971,155,281,126,699.8,83,16.39098361,28.03688525,4,0
1972,176,292,116,599.2,66,16.55616438,28.45342466,4,1
1973,147,290,143,1068.1,112,16.1509589,27.73780822,4,0
1974,160,274,114,379.5,81,16.36694215,28.2206044,3,0
1975,150,301,151,1146.7,97,16.18241758,27.5290411,5,0
1976,160,290,130,922.7,83,,,5,0
1977,135,305,170,1225.8,107,,,4,0
1978,152,292,140,586,75,16.89752747,28.86630137,3,1
1979,141,302,161,1036.1,86,16.75300546,28.32438356,5,1
1980,149,308,159,1110.3,98,,,4,0
1981,147,299,152,702.6,66,16.51808219,28.6709589,3,1
1982,147,272,125,753.9,69,17.14093407,29.2890411,4,0
1983,147,284,137,838.6,66,17.0204918,28.9510929,4,0
1984,133,299,166,1256.7,97,16.56181319,28.39855072,7,0
1985,129,306,177,978.3,99,16.18131868,27.46925208,4,0
1986,155,280,125,411.3,67,16.69309392,,,1
1987,150,290,140,909.9,80,17.040625,,4,2
1988,169,294,125,1179.7,80,16.42521008,27.94630682,5,0
1989,139,275,136,940,65,,,8,0
1990,138,285,147,738.4,77,,,1,0
1991,138,309,171,245.3,72,,29.33481894,,1
1992,161,296,135,1077.8,85,,28.25316804,6,0
1993,133,255,122,758.1,58,,,5,1
1994,152,284,132,474.1,57,16.97945205,29.02587209,2,0
1995,160,280,120,924.9,89,17.39781421,28.47677596,4,0
1996,147,301,154,887.5,79,17.06328767,28.63232877,5,0
1997,137,256,119,743.9,70,17.1939726,28.87315068,,1
1998,149,298,149,1062.5,82,17.05835616,28.58986301,10,0
1999,147,302,155,915.6,84,16.78934426,28.40054645,5,0
2000,124,293,169,1150.5,98,16.6,28,4,0
2001,140,288,148,739.9,71,16.90958904,29.16383562,5,1
2002,148,298,150,1092.4,78,,,7,0
2003,162,303,141,711.3,76,16.73934426,29.01671233,2,1
2004,139,241,102,622.6,60,17.0490411,29.54136986,3,1
2005,150,288,138,787.3,78,,,3,0
2006,187,282,95,677.9,66,,,6,0
2007,141,272,131,797.4,72,16.8773224,28.8773224,2,1
2008,141,285,144,982.9,88,16.8230137,29.23753425,4,0
2009,143,300,157,998.7,79,,,3,2
2010,146,292,146,801.1,85,17.53561644,29.39041096,2,1
2011,146,290,144,988,76,17.30245902,29.09453552,5,0
2012,150,275,125,836.6,61,17.55426997,29.54490358,4,1
2013,167,287,120,748.2,75,17.55232877,29.13604651,2,0
2014,172,295,123,768.8,64,17.41464088,29.38708791,5,1
2015,,283,,,,17.55191257,,1,2
2016,138,311,173,1045,80,16.90473538,,6,0
2017,,280,,,,,,2,3
2018,,260,,,,,,3,1
2019,150,,,,,,,2,0
2020,,307,,,,,,4,0
2021,,263,,,,,,1,1
2022,,295,,,,,,6,0
