month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1949-07,,16.7,18.3,19.8,23.8,26.6,29.3
1949-08,,16.1,18.3,20.6,19.6,26.7,29.6
1949-09,,16.3,17.9,19,21.2,27.3,29.2
1949-10,,12.2,16.5,18.4,24.6,28.1,31
1949-11,,9.4,13,18.1,17.8,24.2,29.6
1949-12,,9.4,11.2,15.3,21.9,24,26.2
1950-01,,9.4,12.4,16,18.4,24.8,28.1
1950-02,,9.3,12.1,15,19.1,24.9,29.7
1950-03,,11.6,15.5,19,24.6,30,34.7
1950-04,,12.3,17.4,21.6,19.9,31.3,36.3
1950-05,,14.8,18.4,22.5,25.3,31.6,36.2
1950-06,,16.6,18.6,21.4,24.7,29.7,35.2
1950-07,,14.7,17.6,20.2,18.7,25.4,30.2
1950-08,,14.9,17.2,20,20.5,26.7,31.1
1950-09,,14.8,17.7,19.9,24.2,28.9,31.4
1950-10,,13.9,16.9,18.9,26.8,29.8,31.9
1950-11,,11.1,14.5,17.7,22,28.1,31.1
1950-12,,8.1,11.3,15.7,16.3,24.4,29.8
1951-01,,7.8,11,14.8,19.4,24.6,28.8
1951-02,,8.2,14.1,19.7,18.7,26.7,31.9
1951-03,,10.8,16.2,18.9,27.1,31.4,35.4
1951-04,,17.8,19.6,21.9,30.4,33.9,36
1951-05,,15,18.5,20.6,23.1,29.8,34.6
1951-06,,17.2,18.4,20.8,21.1,27.3,31.6
1951-07,,15.1,18.6,20.8,22.1,27.5,29.7
1951-08,,16.3,18.3,19.2,23.3,26,28.9
1951-09,,13.9,16.5,19.6,24.2,28.6,32.2
1951-10,,12,16.3,19,22.2,27,31.8
1951-11,,10,12.9,17.2,20,25.5,30
1951-12,,8.9,12.5,14.2,19.3,23.5,26.1
1952-01,,9.4,11.4,14.4,20.4,24.5,27.4
1952-02,,9.2,13.6,16.3,23.1,28.2,33.7
1952-03,,12.2,16.9,21,18.3,31.2,35.6
1952-04,,17.2,19.1,21.3,29.9,33.3,37.4
1952-05,,14.3,18.2,22.7,20.8,29.3,34.8
1952-06,,16.3,18.7,20.6,23.2,29,32.6
1952-07,,17.2,18.5,20.2,24.9,27.6,30.3
1952-08,,17.5,18.7,20.1,24.8,28.6,31
1952-09,,10.8,17.5,19.1,22.9,27.1,30
1952-10,,12,16.6,19.2,22.4,28,31.8
1952-11,,9.6,13,16.3,23.1,26.5,31.1
1952-12,,7.7,10.6,13.5,20.2,24.2,28.9
1953-01,,8.2,10.5,13.5,18.5,23.9,28.7
1953-02,,8.3,13.2,17.6,19.4,27.7,31.2
1953-03,,9.9,14.2,18.7,17.8,28.6,33.7
1953-04,,14.3,18.5,21.6,28.4,33.1,36.7
1953-05,,17.9,20.4,22.7,22.3,33.5,36.7
1953-06,,14.9,18.5,20.5,22.8,28,32.3
1953-07,,16.2,18.5,20.1,21.8,27.7,30.6
1953-08,,17.3,18.7,19.6,22.9,28.3,32
1953-09,,13.8,17.3,20.3,24,28.2,31.4
1953-10,,13.2,16.5,19.3,22.7,28.3,31.2
1953-11,,11.8,15.1,17.5,23.6,27.9,30.8
1953-12,,6.7,11.1,19.6,17,23,28.4
1954-01,,9,11.5,14.4,21.3,24.6,28.6
1954-02,,10.4,13.4,18.4,19.7,26.4,31.6
1954-03,,10.4,16.3,18.6,26.2,30.7,37.2
1954-04,,13.6,19.7,23.3,28.4,33.5,37.3
1954-05,,17.1,18.8,20.6,24.7,29,34.2
1954-06,,17,18.6,20.7,24.2,28,31.3
1954-07,,16.7,18.2,20.3,21.5,26.7,30.3
1954-08,,16.6,18.5,19.7,22.8,26.4,28.7
1954-09,,14.3,17.3,20.3,20.6,25.8,29.6
1954-10,,13.6,16,18.7,22.2,26.7,29.1
1954-11,,12,13.8,16.3,19.9,24.8,28.3
1954-12,,8.9,11.9,13.9,19.2,23.8,26.7
1955-01,,10.3,12.4,16.2,18.3,24.4,28.1
1955-02,,6.9,13.6,17.8,20.6,27.2,30.6
1955-03,,12.3,16.7,20.8,24.2,29.2,34.3
1955-04,,12.7,19,23.1,25.8,32.1,35
1955-05,,17.4,19.9,23.6,23.3,31.7,36.4
1955-06,,16.4,18.1,19.6,22.6,27.1,30.6
1955-07,,15.6,17.5,19.8,22.5,25.6,29.5
1955-08,,16,18,19.4,20,26.4,28.5
1955-09,,16.7,18.1,19.6,23.3,26.7,28.9
1955-10,,13.8,16.5,19,19,25,27.8
1955-11,,10.4,14.5,17.2,17.7,25.2,27.6
1955-12,,10.1,12.5,15.4,18.1,23.8,27.2
1956-01,,9.4,11.3,13.8,20,23.7,27.8
1956-02,,11,14.1,16.1,22.9,27.6,32.2
1956-03,,11,15.2,19.8,20.5,29.1,35.3
1956-04,,13.5,18.5,20.6,28.3,32.2,35.4
1956-05,,16.1,18.2,20,20,28,32.4
1956-06,,15.8,17.9,19.2,23.4,26.5,29.1
1956-07,,15.6,17.9,19,22.3,26.1,28.6
1956-08,,16.8,18.2,19,22.7,26.5,29.7
1956-09,,15.5,17.7,19.4,21.8,26.7,29.2
1956-10,,13.8,16.8,19,21.2,27.5,30.1
1956-11,,9.4,13.6,17.7,13.9,24.8,29.4
1956-12,,8.7,11.6,16.1,21.6,24.6,27.8
1957-01,,9.7,12.6,15.7,23.3,25.9,28.3
1957-02,,10.6,14.6,18.8,23.4,26.9,30.7
1957-03,,14,18.3,21.2,24.6,31.7,35.8
1957-04,,18.3,20,22.2,30.3,33.1,35.5
1957-05,,17.4,21.1,23.8,31.6,34.3,37.1
1957-06,,16.6,18.5,20.7,22.2,28,35
1957-07,,17.6,18.8,20.7,21.6,27,30.7
1957-08,,17.3,18.4,19.8,23.3,26.3,30
1957-09,,14.4,16.9,19.5,24.1,27.2,30.4
1957-10,,13.2,17,19.3,25.6,28.8,31
1957-11,,10.7,14.2,16.7,23.3,27.2,30.3
1957-12,,8.5,12,15,17.2,23.6,28.1
1958-01,,8.9,10.7,14,17.7,22.9,24.5
1958-02,,8.3,12.6,16.3,16.6,25.3,31.8
1958-03,,14.4,17.7,20.1,26.8,31,34.1
1958-04,,15,19.3,23.9,23.3,32.5,36.6
1958-05,,16.9,19.4,22.2,24.6,32.4,35.8
1958-06,,17.5,19,22.1,23.1,28.6,34.5
1958-07,,16.7,18.5,21.1,23.7,27.9,31.2
1958-08,,17.3,18.4,20.1,20.1,26.1,30.2
1958-09,,13.2,17.5,20.5,21.3,27.2,30.8
1958-10,,13.9,16.7,19,23.6,28.4,30.8
1958-11,,12.7,16,19.4,26.6,28.7,30.9
1958-12,,10.8,12.9,15.6,22.3,25,27.9
1959-01,,10,13.2,15.7,21.8,24.7,28.1
1959-02,,10.9,13.9,16.7,18.4,26.2,32.3
1959-03,,12.8,16.5,19.4,24.9,29.5,33.6
1959-04,,11.6,18.6,21.1,19.1,32.3,35.7
1959-05,,14,18.8,23.8,18.6,30.7,36.4
1959-06,,17.2,18.7,20.8,19.7,27.8,33.6
1959-07,,13.4,17.6,20,21.4,27.5,30.8
1959-08,,15.5,18,20.3,23.3,26.9,29.4
1959-09,,13.6,17.2,19.6,24.2,26.3,28.6
