Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1956,,,,,,,,,,,
1957,,284,,937,32.8,24.3,20.1,4.9,27.3,16.1,
1958,134,301,167,1540,33.2,22.5,16.7,4.2,26.7,15.1,
1959,141,289,148,1446,33.2,21.3,20.1,6.7,26.6,15.4,
1960,131,309,178,1316,32.4,21.4,20.1,5,26.9,15.7,
1961,130,264,134,1859,,,,,,,
1962,130,303,173,1666,32.6,21.6,19.9,5.3,26.3,15.7,
1963,122,285,163,1388,34.5,22,19.7,7.7,26,15.7,
1964,128,295,167,1138,32.2,21.8,17.8,5.7,26,15.1,
1965,127,302,175,1379,31.7,21.1,19.3,3.4,26.2,15.9,
1966,143,315,172,1260,33.1,22.5,20.7,3.9,27.3,15.5,
1967,122,280,158,1332,32.3,21.9,20.6,3.9,26.8,14.7,
1968,134,302,168,1838,33.1,22.8,19.8,5.9,27,16,
1969,117,285,168,1298,33.1,23.3,20.8,5.9,27.3,15.7,
1970,144,302,158,1373,32.3,20.6,21.1,5.1,26.6,15.7,
1971,132,292,160,1338,32.8,21.1,17.5,3.9,26.8,14.8,
1972,130,309,179,1488,33.4,21.9,21,3.6,27.7,15.6,
1973,153,301,148,1444,33.1,20.6,20.1,2.9,27.2,14.5,
1974,160,311,151,1243,35.7,20.1,18.2,5.6,27.6,15.5,
1975,156,309,153,1956,32.6,21.2,16.9,2.5,26.8,15.3,
1976,149,302,153,1112,39,21.7,19.9,6.1,26.3,15.6,
1977,127,312,185,1468,32.5,21.6,18.4,4.7,26,16.3,
1978,138,308,170,1827,37,22,19.6,5.5,25.8,16.2,
1979,109,312,203,1858,31.3,22.5,19.6,6.5,25.9,16.2,
1980,156,292,136,1737,32.2,21.9,19.6,5,26.1,15.8,
1981,145,310,165,1065,32,21.6,20.7,4,26.5,15.4,
1982,154,296,142,1110,32.7,22,19.4,4.6,26.8,15.7,
1983,143,299,156,1378,,,,,,,
1984,,,,,,,,,,,
1985,,,,,,,,,,,
1986,,,,,,,,,,,
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,,,,,,,,,,,
1990,,,,,,,,,,,
1991,,,,,,,,,,,
1992,,,,,,,,,,,
1993,,,,,,,,,,,
1994,,,,,,,,,,,
1995,,,,,,,,,,,
1996,,,,,,,,,,,
1997,,,,,,,,,,,
1998,,,,,,,,,,,
1999,,,,,,,,,,,
2000,,,,,,,,,,,
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,,,,,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,,,,,,,,,,,
2010,,,,,,,,,,,
2011,,295,,1262,33.3,21.5,20.8,9,26.2,15.7,
2012,,291,,1065,,,,,,,
2013,,317,,,,,,,,,
2014,141,312,171,1027,,,,,,,
2015,,283,,,,,,,,,
2016,,,,,,,,,,,
2017,,,,,,,,,,,
2018,,304,,,,,,,,,
2019,145,310,165,2006,36.2,24.9,20.7,9.1,26.6,18.1,
2020,,293,,,,,,,,,
2021,,311,,1018,,,,,,,
2022,,,,210,,,,,,,
2023,,,,,,,,,,,
2024,,,,,,,,,,,
