Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1934,,,,,,,,,,,
1935,,,,,,,,,,,
1936,,,,,,,,,,,
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,,,,,,,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,,,,,,,,,,,
1976,,,,,,,,,,,
1977,,,,,,,,,,,
1978,,,,,,,,,,,
1979,125,277,152,761,,,,,,,
1980,131,288,157,986,37,21.3,21.7,3.1,29.8,15.5,
1981,141,253,112,470,39,21.6,23.5,5.4,31,15.6,
1982,139,293,154,647,37.9,21.9,20.3,3,30.8,15.9,
1983,147,286,139,751,38.4,23.3,22,5.3,30.5,15.9,
1984,150,270,120,558,37.7,23.3,23.1,1.7,30.4,15.6,
1985,154,298,144,770,37.5,22.5,19.5,2.9,30.2,15.4,
1986,161,261,62,464,38.6,23.4,22.5,4.2,30.9,15.3,
1987,152,303,151,902,39.2,23.9,22.8,2.8,30.8,15.8,
1988,132,285,125,823,38.3,22.1,21.2,1.2,30,15.2,
1989,165,294,129,837,38.1,22,17.8,5.8,30.9,15.6,
1990,143,281,138,779,39,23.5,22,1.2,30.7,15.1,
1991,125,305,180,741,38,21.4,21.9,4.2,30.9,15,
1992,131,292,161,817,38.3,22.1,22.4,4.4,30.4,15.3,
1993,130,,,639,38.6,22.2,21.5,2.5,30.9,15.5,
1994,176,289,,520,,,,,,,
1995,154,269,115,746,40,23.3,22.6,5,31.6,16.1,
1996,134,287,153,925,,,,,,,
1997,134,277,143,622,40,22.7,21.5,1.9,31.6,16,
1998,156,279,123,633,,,,,,,
1999,125,288,163,,,,,,,,
2000,153,,,,,,,,,,
2001,,,,,,,,,,,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,,,,,,,,,,,
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,282,,,,,,,,,
2009,124,,,,38.5,,23,,30.9,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,133,,,,,,,,,,
2013,,,,,,,,,,,
2014,,291,,,39.3,21.4,25,5.9,31.8,15.9,
2015,157,283,126,,40.7,22.9,20.9,4.7,32.2,15.7,
2016,,,,,,,,,,,
2017,,304,,,,,,,,,
2018,129,,,,40.1,21.9,23.7,5.3,32.8,16.1,
2019,174,,,,,,,,,,
2020,,,,,,,,,,,
2021,,,,,,,,,,,
2022,,,,,,,,,,,
2023,,300,,,,,,,,,
