Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,290,,717,,,,,,,
1957,155,273,118,1474,35,20.2,15.4,2.4,26.9,12.8,
1958,152,276,124,1002,33.9,19.8,12.6,-0.6,26.5,12.6,
1959,143,304,146,1131,33.9,20.5,14.8,3.3,26.3,12.6,
1960,145,305,138,1483,32.4,18.4,16.1,2.3,26.4,13,
1961,135,304,169,1577,34.6,19,17.1,-1.5,25.1,12.7,
1962,134,290,156,1240,33.9,17.8,17.2,0,25.2,12.6,
1963,145,275,130,996,33.3,19.2,17.9,1.1,26,12.7,
1964,145,286,141,1272,,,,,,,
1965,137,292,155,1185,,,,,,,
1966,,312,,,,,,,,,
1967,143,287,144,957,,,,,,,
1968,149,301,152,1534,33.9,18.3,15.1,-0.4,26.2,13,
1969,156,297,141,707,33.4,19,15.6,2.2,26.2,12.9,
1970,147,289,142,1368,32.8,19.2,18.3,0,25.9,12.5,
1971,137,279,142,1156,33.5,18.9,13.4,3.3,25.8,12.7,
1972,149,293,144,858,35.1,19,18,1.1,26.3,12.8,
1973,134,296,150,1338,35,17.8,16,0,25.7,12.8,
1974,144,288,144,908,34,19,14.5,0.8,26,12.8,
1975,157,303,146,1181,37.7,18.2,11,1.2,25.6,12.9,
1976,139,282,124,951,,,,,,,
1977,142,312,170,1347,,,,,,,
1978,134,304,170,1085,,,,,,,
1979,135,312,177,1298,,,,,,,
1980,141,291,150,893,,,,,,,
1981,149,298,149,933,39.6,20.4,12.5,3.4,27.1,14.4,
1982,134,,,923,34.1,19,10.6,0.7,26.7,13.6,
1983,145,282,137,953,39.6,,14.5,,26.7,,
1984,134,302,168,1259,34.7,18,14.7,1,26.1,13.1,
1985,134,314,180,1285,32.5,17.2,17.6,1.1,26.2,12.8,
1986,152,288,136,1086,,,,,,,
1987,148,297,149,1216,,,,,,,
1988,155,305,150,1025,34.6,18.7,15.1,1.8,26.1,13.2,
1989,139,291,152,1069,35.2,17.8,12.1,3.1,26.8,12.8,
1990,148,289,124,823,,,,,,,
1991,151,285,134,768,,,,,,,
1992,140,302,162,1356,35,20.5,16.5,4.6,27.4,14.1,
1993,136,,,758,33.5,19,17.5,2.7,27.2,13.8,
1994,150,273,123,745,35,19,15.5,2,27.1,13.2,
1995,160,285,125,741,,,,,,,
1996,141,300,159,1029,34.8,20.3,18.2,3.5,27.8,14.3,
1997,141,281,140,1023,34.5,19.5,13,2.5,27.5,14.1,
1998,145,294,149,1080,35.7,,15.5,,27.1,,
1999,146,292,113,948,,,,,,,
2000,134,298,164,1298,,,,,,,
2001,160,296,136,876,,,,,,,
2002,162,304,142,984,34.9,,18.3,,27.9,,
2003,166,306,,1006,,20.2,,2.5,,14.6,
2004,141,280,139,929,,,,,,,
2005,155,283,128,1316,36,23.7,18.3,3.2,27.6,15.3,
2006,134,284,150,1185,,,,,,,
2007,,274,,,35.9,19,17.4,3.2,26.6,14.1,
2008,134,294,160,,,20.9,,5.3,,15,
2009,134,294,160,1076,33.8,20.1,16.5,4.9,26.9,15.1,
2010,144,296,152,,35.1,20.9,15,2.9,27.1,15.1,
2011,140,299,,,34.3,20.3,17.9,5.1,26.6,14.2,
2012,,,,,,,,,,,
2013,151,302,,,,,,,,,
2014,164,292,,,35.4,20.8,19.1,4.4,27.5,15.2,
2015,,293,,,,,,,,,
2016,142,295,,,35.1,20.5,18.7,5.5,27.3,15.4,
2017,135,,,,36.6,21,19.2,5.1,27.2,15,
2018,,281,,,,,,,,,
2019,136,285,149,,36.1,20.8,20,7.7,27.1,15.6,
2020,134,290,,,35.7,21.4,15.2,5.4,26.3,14.2,
2021,144,,,,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
