Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,285,,428,,,,,,,
1950,133,304,0,737,,,,,,,
1951,126,,26,962,,,,,,,
1952,130,295,56,735,,,,,,,
1953,157,281,0,847,,,,,,,
1954,130,273,0,1009,,,,,,,
1955,144,301,0,783,,,,,,,
1956,124,276,0,707,,,,,,,
1957,144,283,0,1342,,,,,,,
1958,129,258,23,748,,,,,,,
1959,139,290,27,557,,,,,,,
1960,134,300,0,665,,,,,,,
1961,129,301,0,499,,,,,,,
1962,141,271,0,770,,,,,,,
1963,141,,0,492,,,,,,,
1964,157,293,0,517,,,,,,,
1965,134,284,0,612,,,,,,,
1966,131,305,27,611,,,,,,,
1967,124,297,27,835,,,,,,,
1968,139,294,0,706,,,,,,,
1969,150,258,0,481,,,,,,,
1970,146,,35,536,,,,,,,
1971,133,298,41,920,,,,,,,
1972,161,260,0,379,,,,,,,
1973,124,283,27,1068,,,,,,,
1974,142,292,0,787,,,,,,,
1975,161,290,0,580,,,,,,,
1976,129,288,0,1087,,,,,,,
1977,151,299,0,1039,,,,,,,
1978,,,,,,,,,,,
1979,,,,,,,,,,,
1980,,,,,,,,,,,
1981,,307,,,,,,,,,
1982,191,293,0,487,,,,,,,
1983,152,286,0,624,,,,,,,
1984,126,,0,625,,,,,,,
1985,163,294,0,650,,,,,,,
1986,150,282,0,559,,,,,,,
1987,149,302,0,638,,,,,,,
1988,134,278,26,772,,,,,,,
1989,167,311,15,623,,,,,,,
1990,156,282,0,484,,,,,,,
1991,143,278,0,514,,,,,,,
1992,140,289,0,688,,,,,,,
1993,129,,0,577,,,,,,,
1994,153,,0,330,,,,,,,
1995,143,,0,416,,,,,,,
1996,141,278,0,611,,,,,,,
1997,171,265,0,457,,,,,,,
1998,140,281,0,672,,,,,,,
1999,178,285,0,604,,,,,,,
2000,163,308,0,552,,,,,,,
2001,136,292,0,402,,,,,,,
2002,129,281,34,389,,,,,,,
2003,152,291,0,950,,,,,,,
2004,160,257,44,317,,,,,,,
2005,147,284,0,941,,,,,,,
2006,,278,,,,,,,,,
2007,,,,,,,,,,,
2008,141,,0,,,,,,,,
2009,,,,,,,,,,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,289,,,,,,,,,
2014,,,,,,,,,,,
2015,143,283,0,140,,,,,,,
2016,147,,,,,,,,,,
2017,158,288,0,811,,,,,,,
2018,152,294,0,381,,,,,,,
2019,158,,0,,,,,,,,
2020,137,274,,,,,,,,,
2021,132,,32,,,,,,,,
2022,,,,,,,,,,,
2023,,,,,,,,,,,
