Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1937,,,,,,,,,,,
1938,,,,,,,,,,,
1939,,,,,,,,,,,
1940,,,,,,,,,,,
1941,,,,,,,,,,,
1942,,,,,,,,,,,
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1946,,,,,,,,,,,
1947,,,,,,,,,,,
1948,,,,,,,,,,,
1949,,,,,,,,,,,
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,291,,990,,,,,,,
1961,139,317,0,1545,34.5,17.8,16.1,-1.1,26.3,11.6,
1962,131,285,0,1234,33.7,18.1,20.3,0.4,26.9,11.6,
1963,124,291,0,1251,34.8,17.9,20.9,-0.4,27.1,11.3,
1964,127,296,0,1044,33.6,17.5,19.6,0,26.7,10.6,
1965,130,287,0,1038,33.2,17.8,20.4,-1.1,27.1,11.6,
1966,129,303,0,1092,33.4,20.6,18.4,0.6,27.3,11.8,
1967,124,297,0,1185,34.4,21.1,21.2,-1.7,27.1,12,
1968,128,319,0,1516,,,,,,,
1969,124,279,0,1572,34.7,18.8,21.6,0.8,27.8,11.8,
1970,128,301,0,1408,34.7,18.4,20.2,0.3,27.3,11.4,
1971,132,312,0,1295,33.4,18.5,15,-0.6,27.2,11.9,
1972,130,299,0,964,34.1,18.7,21.8,1.4,28,11.8,
1973,129,302,0,1293,34.5,18.4,17.6,0,27.3,11.7,
1974,139,292,0,1441,34.6,18.9,19.4,0.5,27.6,12.1,
1975,156,326,0,1382,34.8,17.8,15.5,0,26.6,11.8,
1976,124,307,0,1327,33.6,19.4,20.2,1,26.7,12.3,
1977,141,317,0,1587,33.9,20.4,16.5,1.2,26.9,13,
1978,130,303,0,1574,33.6,18.2,18.2,2.8,26.9,12.6,
1979,130,311,0,1326,34,18,20.9,2.5,27.1,12.6,
1980,130,311,0,1489,33.6,17.8,21,2.9,27,12.8,
1981,141,319,0,1382,33.5,17.8,17.5,1,27.4,12.6,
1982,137,304,0,1203,32,19,18.5,3.5,27.6,13.3,
1983,140,289,0,1269,33.6,19,20.6,3.5,27.3,13,
1984,134,300,0,1252,34.5,18.4,18,1.6,26.9,12.6,
1985,127,308,25,1441,32.7,17.5,19.8,2.2,26.8,12.6,
1986,127,284,0,1209,33,19.2,16.5,1.6,27.1,12.5,
1987,130,298,19,1313,34,18.5,21.5,2,28,13.7,
1988,132,303,22,990,34,18.2,21,2.6,27.2,12.6,
1989,137,322,0,1289,35,18.4,17.5,3.3,27.5,13.1,
1990,163,300,0,1368,34.6,18.9,19,2,27.5,12.7,
1991,139,302,0,1142,,,,,,,
1992,136,308,0,1345,33.4,18.9,19.5,2,27.3,12.6,
1993,129,,0,1010,33.9,18.9,21,1.2,27.5,12.7,
1994,152,275,0,1008,34.3,18.9,17.3,2.2,27.8,12.6,
1995,141,291,0,1032,35,19,14.5,2.1,27.6,13.2,
1996,142,298,0,946,34.6,19,21,1.5,27.8,12.7,
1997,128,291,0,1982,35.2,20,18.3,1.9,28,13.7,
1998,136,301,0,1589,,19.9,,2,,13.3,
1999,131,293,0,1173,,18.8,,3.8,,13.4,
2000,126,300,0,1655,,,,,,,
2001,125,294,0,1004,,,,,,,
2002,126,305,0,1374,,19.3,,3.8,,13.9,
2003,129,286,0,869,,,,,,,
2004,130,294,0,1109,33.8,19.8,21.4,1.1,28.5,13.7,
2005,127,309,0,1214,34,,21.6,,27.7,,
2006,126,307,0,1302,33,,21.5,,27.8,,
2007,133,295,0,1102,31.5,18.5,20.6,3.4,27.1,13.3,
2008,127,291,0,1410,35.4,20.1,22.4,3.4,27.8,13.4,
2009,125,301,0,176,33.8,21.1,21,3.4,28,13.9,
2010,131,295,0,1398,35,21,18.4,4,28.2,13.9,
2011,125,299,0,1333,,22.4,,3.5,,13.4,
2012,136,291,0,1289,35.5,21.5,21.4,2.2,28.2,13.8,
2013,131,305,0,1656,36.7,21.8,18.9,4.5,28.1,14.2,
2014,139,314,0,1103,36.2,22,21,3.6,28.2,14.2,
2015,137,301,0,1328,35.4,,19.8,,28.5,,
2016,155,310,18,1226,39.2,,21,,28.5,,
2017,134,310,0,1423,39.2,,22,,29.1,,
2018,167,297,0,970,37.5,19.4,19.4,4.3,28.4,14.3,
2019,128,302,0,1426,35.4,21.4,18.6,4.4,28.4,14.5,
2020,139,304,0,165,35.1,18.8,20.4,1.5,28,13.7,
2021,125,312,0,990,39.6,21,16.9,4.6,28.3,14.7,
2022,135,,,,,,,,,,
2023,124,,21,489,,,,,,,
