Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1953,147,278,131,782,,,,,,,
1954,132,285,153,879,,,,,,,
1955,113,310,197,1237,30.7,19.1,24.2,16.2,27.9,18,
1956,130,287,157,950,36.6,18.8,21.5,15.2,28.6,17.5,
1957,109,279,170,1330,32.3,19.2,21.1,16.1,27.8,17.7,
1958,121,278,157,1029,31.1,19.2,25.3,15.7,28.4,18,
1959,134,285,151,1316,31.9,18.7,23.9,15.5,27.6,17.5,
1960,132,310,178,1105,33.6,19.3,23.2,15.7,29.3,17.9,
1961,117,298,181,1331,30.3,19.1,23.2,15.3,28.1,17.5,
1962,144,280,136,1082,30.1,19.1,23.2,17.3,26.8,18.3,
1963,125,282,157,984,32.8,19.2,23.7,15.9,28.7,17.4,
1964,116,274,158,836,30.3,20.7,20.7,15.6,27.4,17.3,
1965,141,292,151,1125,32.1,18.9,21.9,15.7,28.8,17.5,
1966,124,303,179,933,35.1,19.4,21.6,15.6,29.4,17.7,
1967,120,286,166,1257,32.3,19.4,21.3,15.5,27.2,17.7,
1968,129,290,161,,,,,,,,
1969,111,245,134,,,,,,,,
1970,132,274,142,751,,,,,,,
1971,111,298,187,940,32.5,19.4,23.9,15.9,29.2,17.7,
1972,119,271,152,695,33.9,20.3,25.2,16.1,30.4,18.3,
1973,131,296,165,893,31.8,20.3,24.8,16.3,28.6,17.7,
1974,119,289,170,1292,30.9,18.5,22.7,15.8,27.7,17.4,
1975,121,314,193,1225,32.3,19,23,15.7,27.7,17.5,
1976,120,292,172,865,32.3,19,24.2,15.5,28.4,17.1,
1977,141,315,174,1160,31.1,18.9,22.6,15.5,27,17.3,
1978,125,290,165,1105,32.3,18.2,23.3,12.6,28.1,16.6,
1979,123,280,157,1215,31.7,18.6,24.2,12.4,28.1,16.7,
1980,110,289,179,1091,32.4,19.6,22.1,16,29.1,17.8,
1981,112,267,155,846,34.5,19.1,25.6,13,31.4,17.4,
1982,143,251,108,846,32.8,18.6,25.4,14.5,30.3,17.1,
1983,141,292,151,908,31.9,18.2,24.1,15,28.8,16.9,
1984,96,258,162,856,32,18.5,23,15,28,17.6,
1985,129,304,175,845,32.9,19.9,23.2,14.8,29.2,18.1,
1986,116,281,165,846,33.7,19.1,23.2,13.9,29.9,16.9,
1987,95,292,197,1269,32.4,20,21.7,15.8,29,18.7,
1988,133,307,174,1114,31.9,18.6,26.1,15.3,29.3,17.1,
1989,117,276,159,1023,33.9,19.3,22.9,15.3,29.4,17.3,
1990,142,259,117,1096,33.3,19.8,24.2,16.4,29.3,18.1,
1991,110,249,139,971,31.9,19,23.3,14.5,28.8,17.2,
1992,116,306,190,1157,34.5,19.3,24.3,9.2,29.8,16.9,
1993,128,266,138,886,32.9,20.1,26.2,16.6,30.2,18.2,
1994,114,267,153,710,34.3,20.5,22.4,14.6,30.4,17.9,
1995,124,267,143,737,32.1,21.3,22.6,14.7,29.7,18,
1996,114,296,182,1038,32.3,,24.8,,29.2,,
1997,152,293,141,903,32.6,,24.7,,29.6,,
1998,,285,,602,,,,,,,
1999,104,292,188,1105,32.3,19.4,21,15,29.9,17.2,
2000,,296,,,,,,,,,
2001,111,265,154,720,34,20.2,24.4,16,30.2,18.3,
2002,150,268,118,1141,34.9,20,20.5,15.5,29.2,18.1,
2003,148,295,147,1079,32.1,20.1,26.3,17,29.9,18.6,
2004,131,298,167,1003,33.2,19.2,22.1,16,29.9,17.4,
2005,122,297,175,1106,34.5,20.8,24.5,17.2,29.8,18.7,
2006,110,262,152,1185,,,,,,,
2007,144,288,144,1059,33.4,19.4,21.9,15.1,28.5,17.9,
2008,135,280,145,1063,33,20.5,22.6,16.5,28.6,18.5,
2009,124,307,183,1581,32.6,19.9,25.5,16.1,29.7,18.5,
2010,148,295,147,1153,,19.6,,16.7,,18.2,
2011,,289,,851,31.9,20.3,23.8,16.9,28.5,18.4,
2012,102,281,179,1022,32,20.2,25.6,17.1,29.3,18.4,
2013,122,303,181,1086,34.5,20.2,26.5,17.5,29.2,19,
2014,,305,,,32.1,,25.6,,29.7,,
2015,124,297,173,919,33,19.6,25.7,16.1,30,18.1,
2016,145,285,140,1129,34.9,20.4,23.9,16.8,30.6,18.6,
2017,139,302,163,975,36.5,19.6,23.2,17,29.5,18.4,
2018,155,265,110,766,33.6,19.2,24.5,11.6,30.6,17.3,
2019,104,297,193,1261,33.8,20,27.5,16.7,31.2,18.9,
2020,131,,,,32.2,20.6,23.5,16.5,28.5,18.6,
2021,120,306,186,1109,35.3,21.3,24.9,17.3,31,18.9,
2022,122,250,128,1143,34.6,20.4,20.5,15.1,29.4,17.6,
2023,107,,,514,34.5,21.1,26.2,17.1,31.6,19.5,
2024,,,,,35.7,20.3,28.5,15.6,33.2,18.5,
