Year	Start	End	Length	Rainfall
1965	0	0	0	0
1966	168	297	129	547.3
1967	0	0	0	0
1968	134	293	159	555.4
1969	111	253	142	440.6
1970	0	0	0	0
1971	100	306	206	692.8
1972	0	0	0	0
1973	125	289	164	865.8
1974	132	267	135	544.4
1975	171	295	124	715
1976	148	310	162	646.9
1977	127	311	184	990.9
1978	101	269	168	708.5
1979	113	280	167	639.2
1980	131	325	194	668.3
1981	146	255	109	314.1
1982	135	284	149	289.3
1983	171	279	108	288.4
1984	148	269	121	465.5
1985	174	323	149	491.3
1986	120	243	123	269.4
1987	153	291	138	494.8
1988	153	307	154	259.5
1989	178	276	98	233.3
1990	148	276	128	427.8
1991	0	0	0	0
1992	0	0	0	0
1993	135	257	122	493.3
1994	163	276	113	388.2
1995	198	282	84	502.6
1996	140	297	157	508.8
1997	148	258	110	326
1998	131	307	176	778.8
1999	144	289	145	1051.5
2000	148	282	134	485.3
2001	132	291	159	299.7
2002	114	298	184	499.8
2003	99	278	179	508.5
2004	0	0	0	0
2005	173	288	115	294
2006	184	263	79	337.1
2007	148	231	83	575.3
2008	169	282	113	713.9
2009	143	301	158	418.2
2010	158	298	140	488.9
2011	138	279	141	421.5
2012	189	288	99	376
2013	171	282	111	477.1
2014	167	284	117	387.5
2015	200	284	84	142.6
2016	165	274	109	666.5
2017	135	291	156	543.4
2018	175	266	91	462.7
2019	195	289	94	343.3
2020	172	248	76	423.4
2021	167	281	114	281
2022	0	0	0	0
2023	108	0	0	0
2024	0	0	0	0
