Year	Start	End	Length	Rainfall
1963	190	256	66	197
1964	144	293	149	329
1965	191	261	70	293
1966	128	284	156	812
1967	0	0	0	0
1968	134	290	156	420
1969	95	253	158	407
1970	167	283	116	324
1971	174	283	109	687
1972	0	0	0	0
1973	123	307	184	819
1974	132	296	164	664
1975	173	293	120	566
1976	148	278	130	657
1977	166	300	134	771
1978	116	272	156	478
1979	138	267	129	510
1980	154	312	158	569
1981	95	255	160	461
1982	0	0	0	0
1983	135	274	139	329
1984	128	257	129	649
1985	122	313	191	545
1986	151	241	90	248
1987	153	277	124	653
1988	151	306	155	287
1989	165	298	133	441
1990	148	296	148	387
1991	0	0	0	0
1992	165	262	97	451
1993	136	275	139	353
1994	163	254	91	397
1995	198	285	87	633
1996	140	289	149	616
1997	148	231	83	338
1998	131	281	150	1176
1999	142	282	140	1101
2000	128	282	154	582
2001	145	241	96	273
2002	0	0	0	0
2003	0	0	0	0
2004	199	243	44	288
2005	194	294	100	510
2006	150	257	107	304
2007	146	233	87	675
2008	169	261	92	297
2009	0	0	0	0
2010	0	0	0	0
2011	118	294	176	485
2012	116	282	166	605
2013	145	270	125	642
2014	169	221	52	84
2015	0	0	0	0
2016	134	274	140	611
2017	120	291	171	535
2018	159	279	120	347
2019	195	264	69	194
2020	158	263	105	687
2021	167	298	131	457
2022	150	279	129	493
2023	0	0	0	0
2024	0	0	0	0
