Year	Start	End	Length	Rainfall
1951	119	260	141	741
1952	127	287	160	959
1953	129	243	114	440
1954	131	305	174	1064
1955	145	300	155	630
1956	124	276	152	663
1957	152	264	112	627
1958	154	302	148	518
1959	171	308	137	304
1960	138	277	139	214
1961	197	204	7	34
1962	210	250	40	161
1963	155	195	40	75
1964	160	194	34	171
1965	199	258	59	294
1966	132	280	148	767
1967	0	0	0	0
1968	139	307	168	839
1969	150	295	145	338
1970	136	288	152	547
1971	123	285	162	685
1972	215	294	79	102
1973	147	267	120	747
1974	135	275	140	924
1975	151	290	139	658
1976	168	286	118	606
1977	153	300	147	824
1978	164	253	89	301
1979	113	272	159	579
1980	131	310	179	716
1981	144	294	150	351
1982	106	255	149	175
1983	160	290	130	349
1984	173	266	93	637
1985	167	316	149	481
1986	197	245	48	112
1987	153	277	124	713
1988	151	314	163	457
1989	114	278	164	542
1990	147	274	127	273
1991	0	0	0	0
1992	164	251	87	547
1993	135	201	66	342
1994	179	291	112	400
1995	198	255	57	548
1996	140	299	159	718
1997	136	259	123	331
1998	143	278	135	778
1999	132	304	172	1046
2000	126	283	157	630
2001	131	303	172	663
2002	170	279	109	722
2003	150	285	135	550
2004	0	0	0	0
2005	143	269	126	906
2006	127	289	162	466
2007	150	234	84	610
2008	169	254	85	447
2009	122	300	178	626
2010	128	299	171	569
2011	144	279	135	479
2012	184	281	97	255
2013	183	278	95	688
2014	139	287	148	415
2015	0	0	0	0
2016	170	280	110	611
2017	170	280	110	611
2018	148	299	151	417
2019	135	252	117	542
2020	150	275	125	969
2021	179	300	121	313
2022	150	271	121	505
2023	0	0	0	0
2024	0	0	0	0
