Year	Start	End	Length	Rainfall
1963	0	0	0	0
1964	151	251	100	389
1965	114	245	131	320
1966	136	261	125	497
1967	186	310	124	488
1968	0	0	0	0
1969	134	295	161	549
1970	121	257	136	402
1971	179	288	109	301
1972	129	296	167	811
1973	215	288	73	121
1974	149	285	136	789
1975	131	299	168	789
1976	150	298	148	636
1977	127	280	153	541
1978	147	302	155	851
1979	0	0	0	0
1980	113	288	175	719
1981	167	308	141	549
1982	146	253	107	274
1983	150	293	143	436
1984	130	283	153	350
1985	108	261	153	510
1986	122	318	196	500
1987	151	247	96	400
1988	144	289	145	995
1989	106	307	201	492
1990	115	289	174	584
1991	156	289	133	531
1992	206	273	67	176
1993	123	298	175	530
1994	147	262	115	407
1995	147	307	160	518
1996	141	261	120	592
1997	140	280	140	460
1998	137	262	125	513
1999	142	273	131	538
2000	143	283	140	1096
2001	129	291	162	367
2002	165	254	89	240
2003	111	288	177	709
2004	144	298	154	447
2005	156	279	123	674
2006	137	266	129	544
2007	139	305	166	615
2008	149	272	123	491
2009	140	304	164	573
2010	153	300	147	426
2011	145	280	135	487
2012	158	250	92	519
2013	173	277	104	593
2014	167	250	83	320
2015	209	282	73	293
2016	119	272	153	731
2017	135	269	134	435
2018	152	225	73	329
2019	143	260	117	341
2020	149	264	115	815
2021	145	298	153	402
2022	127	255	128	562
