Year,Start,End,Length,Rainfall
1978,,,,
1979,174,290,116,932.3
1980,157,270,113,960.3
1981,117,243,126,840.4
1982,154,254,100,842.8
1983,165,273,108,561.6
1984,160,268,108,1199.3
1985,129,236,107,644
1986,184,277,93,733.2
1987,183,303,120,901
1988,158,267,109,1189.2
1989,179,282,103,889
1990,174,266,92,855.1
1991,165,268,103,370.2
1992,168,268,100,693.6
1993,188,254,66,471.1
1994,164,242,78,426.3
1995,186,259,73,913.4
1996,165,283,118,957.1
1997,161,256,95,725.1
1998,175,265,90,824.9
1999,189,262,73,908.4
2000,196,278,82,1062.1
2001,163,265,102,969
2002,165,273,108,1276.7
2003,203,280,77,583.4
2004,148,301,153,837.5
2005,184,285,101,878.9
2006,149,271,122,900.2
2007,158,255,97,1080.3
2008,149,276,127,1035.3
2009,178,262,84,878.1
2010,191,264,73,781.7
2011,162,276,114,862.4
2012,188,254,66,765.8
2013,166,279,113,831.5
2014,183,274,91,917.8
2015,200,266,66,347.1
2016,160,269,109,550.6
2017,202,284,82,733.8
